epoch,if_packets_tx
1655651103,10879526300.28125
1655651104,10879628375.0625
1655651105,10879730449.84375
1655651106,10879832524.625
1655651107,10879934599.4375
1655651108,10880036674.21875
1655651109,10880138749.0
1655651110,10880240823.78125
1655651111,10880342898.5625
1655651112,10880444973.375
1655651113,10880547048.15625
1655651114,10880649122.9375
1655651115,10880751197.71875
1655651116,10880853272.53125
1655651117,10880955347.3125
1655651118,10881057422.09375
1655651119,10881159496.875
1655651120,10881261571.6875
1655651121,10881363646.46875
1655651122,10881465721.25
1655651123,10881567796.03125
1655651124,10881669870.8125
1655651125,10881771945.625
1655651126,10881874020.40625
1655651127,10881976095.1875
1655651128,10882078169.96875
1655651129,10882180244.78125
1655651130,10882282319.5625
1655651131,10882384394.34375
1655651132,10882486469.125
1655651133,10882588543.90625
1655651134,10882690618.71875
1655651135,10882792693.5
1655651136,10882894768.28125
1655651137,10882996843.0625
1655651138,10883098917.875
1655651139,10883200992.65625
1655651140,10883303067.4375
1655651141,10883405142.21875
1655651142,10883507217.03125
1655651143,10883609291.8125
1655651144,10883711366.59375
1655651145,10883813441.375
1655651146,10883915516.15625
1655651147,10884017590.96875
1655651148,10884119665.75
1655651149,10884221740.53125
1655651150,10884323815.3125
1655651151,10884425890.125
1655651152,10884527964.90625
1655651153,10884630039.6875
1655651154,10884732114.46875
1655651155,10884834189.25
1655651156,10884936264.0625
1655651157,10885038338.84375
1655651158,10885140413.625
1655651159,10885242488.40625
1655651160,10885344563.21875
1655651161,10885446638.0
1655651162,10885548712.78125
1655651163,10885650787.5625
1655651164,10885752862.375
1655651165,10885854937.15625
1655651166,10885957011.9375
1655651167,10886059086.71875
1655651168,10886161161.5
1655651169,10886263236.3125
1655651170,10886365311.09375
1655651171,10886467385.875
1655651172,10886569460.65625
1655651173,10886671535.46875
1655651174,10886773610.25
1655651175,10886875685.03125
1655651176,10886977759.8125
1655651177,10887079834.625
1655651179,10887283984.1875
1655651180,10887386058.96875
1655651181,10887488133.75
1655651182,10887590208.5625
1655651183,10887692283.34375
1655651184,10887794358.125
1655651185,
1655651186,10887998507.71875
1655651187,10888100582.5
1655651188,10888202657.28125
1655651189,10888304732.0625
1655651190,10888406806.84375
1655651191,10888508881.65625
1655651192,10888610956.4375
1655651193,10888713031.21875
1655651194,10888815106.0
1655651195,10888917180.8125
1655651196,10889019255.59375
1655651197,10889121330.375
1655651198,10889223405.15625
1655651199,10889325479.96875
1655651200,10889427554.75
1655651201,10889529629.53125
1655651202,10889631704.3125
1655651203,10889733779.09375
1655651204,10889835853.90625
1655651205,10889937928.6875
1655651206,10890040003.46875
1655651207,10890142078.25
1655651208,10890244153.0625
1655651209,10890346227.84375
1655651210,10890448302.625
1655651211,10890550377.40625
1655651212,10890652452.1875
1655651213,10890754527.0
1655651214,10890856601.78125
1655651215,10890958676.5625
1655651216,10891060751.34375
1655651217,10891162826.15625
1655651218,10891264900.9375
1655651219,10891366975.71875
1655651220,10891469050.5
1655651221,10891571125.3125
1655651222,10891673200.09375
1655651223,10891775274.875
1655651224,10891877349.65625
1655651225,10891979424.4375
1655651226,10892081499.25
1655651227,10892183574.03125
1655651228,10892285648.8125
1655651229,10892387723.59375
1655651230,10892489798.40625
1655651231,10892591873.1875
1655651232,10892693947.96875
1655651233,10892796022.75
1655651234,10892898097.5625
1655651235,10893000172.34375
1655651236,10893102247.125
1655651237,10893204321.90625
1655651238,10893306396.6875
1655651239,10893408471.5
1655651240,10893510546.28125
1655651241,10893612621.0625
1655651242,10893714695.84375
1655651243,10893816770.65625
1655651244,10893918845.4375
1655651245,10894020920.21875
1655651246,10894122995.0
1655651247,10894225069.78125
1655651248,10894327144.59375
1655651249,10894429219.375
1655651250,10894531294.15625
1655651251,10894633368.9375
1655651252,10894735443.75
1655651253,10894837518.53125
1655651254,10894939593.3125
1655651255,10895041668.09375
1655651256,10895143742.90625
1655651257,10895245817.6875
1655651258,10895347892.46875
1655651259,10895449967.25
1655651260,10895552042.03125
1655651261,10895654116.84375
1655651262,10895756191.625
1655651263,10895858266.40625
1655651264,10895960341.1875
1655651265,10896062416.0
1655651266,10896164490.78125
1655651267,10896266565.5625
1655651268,10896368640.34375
1655651269,10896470715.125
1655651270,10896572789.9375
1655651271,10896674864.71875
1655651272,10896776939.5
1655651273,10896879014.28125
1655651274,10896981089.09375
1655651275,10897083163.875
1655651276,10897185238.65625
1655651277,10897287313.4375
1655651278,10897389388.25
1655651279,10897491463.03125
1655651280,10897593537.8125
1655651281,10897695612.59375
1655651282,10897797687.375
1655651283,10897899762.1875
1655651284,10898001836.96875
1655651285,10898103911.75
1655651286,10898205986.53125
1655651287,10898308061.34375
1655651288,10898410136.125
1655651289,10898512210.90625
1655651290,10898614285.6875
1655651291,10898716360.5
1655651292,10898818435.28125
1655651293,10898920510.0625
1655651294,10899022584.84375
1655651295,10899124659.625
1655651296,10899226734.4375
1655651297,10899328809.21875
1655651298,10899430884.0
1655651299,10899532958.78125
1655651300,10899635033.59375
1655651301,10899737108.375
1655651302,10899839183.15625
1655651303,10899941257.9375
1655651304,10900043332.71875
1655651305,10900145407.53125
1655651306,10900247482.3125
1655651307,10900349557.09375
1655651308,10900451631.875
1655651309,10900553706.6875
1655651310,10900655781.46875
1655651311,10900757856.25
1655651312,10900859931.03125
1655651313,10900962005.84375
1655651314,10901064080.625
1655651315,10901166155.40625
1655651316,10901268230.1875
1655651317,10901370304.96875
1655651318,10901472379.78125
1655651319,10901574454.5625
1655651320,10901676529.34375
1655651321,10901778604.125
1655651322,10901880678.9375
1655651323,10901982753.71875
1655651324,10902084828.5
1655651325,10902186903.28125
1655651326,10902288978.0625
1655651327,10902391052.875
1655651328,10902493127.65625
1655651329,10902595202.4375
1655651330,10902697277.21875
1655651331,10902799352.03125
1655651332,
1655651333,10903003501.59375
1655651334,10903105576.375
1655651335,10903207651.1875
1655651336,10903309725.96875
1655651337,10903411800.75
1655651338,
1655651339,10903615950.3125
1655651340,10903718025.125
1655651341,10903820099.90625
1655651342,10903922174.6875
1655651343,
1655651344,10904126324.28125
1655651346,10904330473.84375
1655651347,10904432548.625
1655651349,10904636698.21875
1655651350,10904738773.0
1655651351,10904840847.78125
1655651352,10904942922.5625
1655651353,10905044997.375
1655651354,
1655651356,10905351221.71875
1655651357,10905453296.53125
1655651358,10905555371.3125
1655651359,10905657446.09375
1655651360,10905759520.875
1655651361,10905861595.65625
1655651362,10905963670.46875
1655651363,
1655651364,10906167820.03125
1655651365,10906269894.8125
1655651366,10906371969.625
1655651367,10906474044.40625
1655651368,10906576119.1875
1655651369,10906678193.96875
1655651370,10906780268.78125
1655651371,10906882343.5625
1655651372,
1655651373,10907086493.125
1655651374,10907188567.90625
1655651375,10907290642.71875
1655651377,10907494792.28125
1655651378,10907596867.0625
1655651379,10907698941.875
1655651380,10907801016.65625
1655651381,10907903091.4375
1655651383,
1655651384,
1655651385,10908311390.59375
1655651386,10908413465.375
1655651388,10908617614.96875
1655651389,10908719689.75
1655651390,10908821764.53125
1655651391,10908923839.3125
1655651392,10909025914.125
1655651395,10909332138.46875
1655651396,10909434213.25
1655651399,10909740437.625
1655651400,10909842512.40625
1655651401,10909944587.21875
1655651402,
1655651403,10910148736.78125
1655651404,10910250811.5625
1655651405,10910352886.375
1655651406,10910454961.15625
1655651408,10910659110.71875
1655651409,10910761185.5
1655651410,10910863260.3125
1655651411,10910965335.09375
1655651412,10911067409.875
1655651413,10911169484.65625
1655651414,10911271559.46875
1655651415,10911373634.25
1655651416,10911475709.03125
1655651418,10911679858.59375
1655651419,10911781933.40625
1655651420,10911884008.1875
1655651421,
1655651422,10912088157.75
1655651423,10912190232.5625
1655651424,10912292307.34375
1655651425,10912394382.125
1655651426,10912496456.90625
1655651427,10912598531.71875
1655651428,10912700606.5
1655651429,10912802681.28125
1655651430,10912904756.0625
1655651431,10913006830.84375
1655651432,10913108905.65625
1655651433,10913210980.4375
1655651434,10913313055.21875
1655651435,10913415130.0
1655651437,
1655651438,10913721354.375
1655651440,10913925503.9375
1655651441,10914027578.75
1655651442,10914129653.53125
1655651443,10914231728.3125
1655651444,10914333803.09375
1655651445,10914435877.90625
1655651446,10914537952.6875
1655651447,10914640027.46875
1655651448,10914742102.25
1655651449,
1655651450,10914946251.84375
1655651452,10915150401.40625
1655651453,10915252476.1875
1655651454,10915354551.0
1655651455,10915456625.78125
1655651457,
1655651458,10915762850.15625
1655651459,
1655651460,10915966999.71875
1655651461,10916069074.5
1655651462,10916171149.3125
1655651463,
1655651464,10916375298.875
1655651465,10916477373.65625
1655651466,10916579448.4375
1655651468,10916783598.03125
1655651469,
1655651470,10916987747.59375
1655651471,10917089822.40625
1655651472,10917191897.1875
1655651473,10917293971.96875
1655651474,10917396046.75
1655651475,10917498121.53125
1655651476,10917600196.34375
1655651477,10917702271.125
1655651478,10917804345.90625
1655651479,10917906420.6875
1655651480,10918008495.5
1655651481,10918110570.28125
1655651482,
1655651483,10918314719.84375
1655651484,10918416794.65625
1655651485,10918518869.4375
1655651486,10918620944.21875
1655651487,10918723019.0
1655651488,
1655651489,
1655651490,10919029243.375
1655651491,10919131318.15625
1655651492,10919233392.9375
1655651493,
1655651494,10919437542.53125
1655651495,10919539617.3125
1655651496,10919641692.09375
1655651497,10919743766.875
1655651498,10919845841.6875
1655651499,10919947916.46875
1655651500,10920049991.25
1655651501,10920152066.03125
1655651502,
1655651503,10920356215.625
1655651504,10920458290.40625
1655651505,10920560365.1875
1655651506,10920662440.0
