epoch,memory-used
1655651103,41486539995.224594
1655651104,41483657672.09406
1655651105,41482758605.520966
1655651106,41483859399.263916
1655651107,41486976657.081604
1655651108,41492126482.51279
1655651109,41499319848.96163
1655651110,41508553096.03411
1655651111,41519812967.84737
1655651112,41533084591.96014
1655651113,41548353095.931145
1655651114,41565603607.31911
1655651115,41584821253.68274
1655651116,41605991162.58075
1655651117,41629098461.57188
1655651118,41654128278.214836
1655651119,41681065740.06834
1655651120,41709895974.69109
1655651121,41740604109.64184
1655651122,41773175272.479294
1655651123,41807594590.76215
1655651124,41843847192.04916
1655651125,41881918203.89901
1655651126,41921792753.87045
1655651127,41963455969.52218
1655651128,42006892978.41292
1655651129,42052088908.101395
1655651130,42099028886.14632
1655651131,42147698040.1064
1655651132,42198081497.54038
1655651133,42250164386.00696
1655651134,42303931833.06487
1655651135,42359368966.27283
1655651136,42416460913.18952
1655651137,42475192801.37373
1655651138,42535549758.38411
1655651139,42597516911.77943
1655651140,42661079389.11838
1655651141,42726222317.95967
1655651142,42792930825.86204
1655651143,42861190040.3842
1655651144,42930985089.08487
1655651145,43002301099.52277
1655651146,43075123199.25662
1655651147,43149436515.84514
1655651148,43225226176.847046
1655651149,43302477309.82104
1655651150,43381175042.32588
1655651151,43461304501.92024
1655651152,43542850816.162865
1655651153,43625799112.61248
1655651154,43710134518.82779
1655651155,43795842162.3675
1655651156,43882907170.79035
1655651157,43971313636.20267
1655651158,44061041508.90121
1655651159,44152069703.73036
1655651160,44244377135.534515
1655651161,44337942719.158035
1655651162,44432745369.445305
1655651163,44528764001.24071
1655651164,44625977529.38861
1655651165,44724364868.73343
1655651166,44823904323.240524
1655651167,44924571753.35939
1655651168,45026342408.66051
1655651169,45129191538.71436
1655651170,45233094393.09148
1655651171,45338026086.629616
1655651172,45443961137.88306
1655651173,45550873571.99857
1655651174,45658736839.71301
1655651175,45767524262.49893
1655651176,45877209161.82887
1655651177,45987764859.17539
1655651179,46099164676.011
1655651180,46211381933.808304
1655651181,46324389954.039795
1655651182,46438162058.178055
1655651183,46552671567.695625
1655651184,46667891804.06504
1655651185,46783796088.75885
1655651186,46900357743.24962
1655651187,47017550089.00988
1655651188,47135346447.51215
1655651189,47253720140.22903
1655651190,47372644488.63304
1655651191,47492092814.19674
1655651192,47612038438.39265
1655651193,47732454682.69335
1655651194,47853314868.571365
1655651195,47974592317.49924
1655651196,48096260350.94954
1655651197,48218292290.39479
1655651198,48340661457.307556
1655651199,48463341173.16039
1655651200,48586304759.42581
1655651201,48709525537.57639
1655651202,48832976829.084656
1655651203,48956631955.423164
1655651204,49080464238.06448
1655651205,49204446998.48112
1655651206,49328553558.145645
1655651207,49452757238.53062
1655651208,49577031361.10854
1655651209,49701349247.35201
1655651210,49825684218.73354
1655651211,49950009596.7257
1655651212,50074298702.80102
1655651213,50198524858.43205
1655651214,50322661385.09135
1655651215,50446681604.25145
1655651216,50570558837.384895
1655651217,50694266405.96425
1655651218,50817777631.46206
1655651219,50941065835.35085
1655651220,51064104339.10319
1655651221,51186866464.19163
1655651222,51309325532.0887
1655651223,51431454864.26693
1655651224,51553227782.198906
1655651225,51674617607.35716
1655651226,51795597661.21423
1655651227,51916141265.242676
1655651228,52036221740.91505
1655651229,52155812409.70387
1655651230,52274886593.0817
1655651231,52393417612.5211
1655651232,52511378789.49461
1655651233,52628743445.47477
1655651234,52745484901.93412
1655651235,52861576480.345215
1655651236,52976991502.1806
1655651237,53091703288.91284
1655651238,53205685162.01445
1655651239,53318910442.95801
1655651240,53431352453.21605
1655651241,53542984514.2611
1655651242,53653780998.05811
1655651243,53763721489.38561
1655651244,53872790666.890755
1655651245,53980974220.064804
1655651246,54088260523.14177
1655651247,54194648689.32686
1655651248,54300140516.56806
1655651249,54404737802.813385
1655651250,54508442346.010796
1655651251,54611255944.10832
1655651252,54713180395.05393
1655651253,54814217496.79564
1655651254,54914369047.28144
1655651255,55013636844.45928
1655651256,55112022686.27723
1655651257,55209528370.68321
1655651258,55306155695.62526
1655651259,55401906459.05136
1655651260,55496782458.909515
1655651261,55590785493.14769
1655651262,55683917359.71392
1655651263,55776179856.556175
1655651264,55867574781.622444
1655651265,55958103932.86074
1655651266,56047769108.21902
1655651267,56136572105.64531
1655651268,56224514723.08761
1655651269,56311598758.49391
1655651270,56397826009.81218
1655651271,56483198274.99043
