epoch,if_packets_rx
1656293034,1447948625.3554688
1656293035,1447959306.7265625
1656293036,1447969988.1015625
1656293037,1447980669.4765625
1656293038,1447991350.8515625
1656293039,1448002032.2265625
1656293040,1448012713.5976562
1656293041,1448023394.9726562
1656293042,1448034076.3476562
1656293043,1448044757.7226562
1656293044,1448055439.0976562
1656293045,1448066120.4726562
1656293046,1448076801.84375
1656293047,1448087483.21875
1656293048,1448098164.59375
1656293049,1448108845.96875
1656293050,1448119527.34375
1656293051,1448130208.7148438
1656293052,1448140890.0898438
1656293053,1448151571.4648438
1656293054,1448162252.8398438
1656293055,1448172934.2148438
1656293056,1448183615.5898438
1656293057,1448194296.9609375
1656293058,1448204978.3359375
1656293059,1448215659.7109375
1656293060,1448226341.0859375
1656293061,1448237022.4609375
1656293062,1448247703.8320312
1656293063,1448258385.2070312
1656293064,1448269066.5820312
1656293065,1448279747.9570312
1656293066,1448290429.3320312
1656293067,1448301110.703125
1656293068,1448311792.078125
1656293069,1448322473.453125
1656293070,1448333154.828125
1656293071,1448343836.203125
1656293072,1448354517.578125
1656293073,1448365198.9492188
1656293074,1448375880.3242188
1656293075,1448386561.6992188
1656293076,1448397243.0742188
1656293077,1448407924.4492188
1656293078,1448418605.8203125
1656293079,1448429287.1953125
1656293080,1448439968.5703125
1656293081,1448450649.9453125
1656293082,1448461331.3203125
1656293083,1448472012.6953125
1656293084,1448482694.0664062
1656293085,1448493375.4414062
1656293086,1448504056.8164062
1656293087,1448514738.1914062
1656293088,1448525419.5664062
1656293089,1448536100.9375
1656293090,1448546782.3125
1656293091,1448557463.6875
1656293092,1448568145.0625
1656293093,1448578826.4375
1656293094,1448589507.8085938
1656293095,1448600189.1835938
1656293096,1448610870.5585938
1656293097,1448621551.9335938
1656293098,1448632233.3085938
1656293099,1448642914.6835938
1656293100,1448653596.0546875
1656293101,1448664277.4296875
1656293102,1448674958.8046875
1656293103,1448685640.1796875
1656293104,1448696321.5546875
1656293105,1448707002.9257812
1656293106,1448717684.3007812
1656293107,1448728365.6757812
1656293108,1448739047.0507812
1656293109,1448749728.4257812
1656293110,1448760409.8007812
1656293111,1448771091.171875
1656293112,1448781772.546875
1656293113,1448792453.921875
1656293114,1448803135.296875
1656293115,1448813816.671875
1656293116,1448824498.0429688
1656293117,1448835179.4179688
1656293118,1448845860.7929688
1656293119,1448856542.1679688
1656293120,1448867223.5429688
1656293121,1448877904.9179688
1656293122,1448888586.2890625
1656293123,1448899267.6640625
1656293124,1448909949.0390625
1656293125,1448920630.4140625
1656293126,1448931311.7890625
1656293127,1448941993.1601562
1656293128,1448952674.5351562
1656293129,1448963355.9101562
1656293130,1448974037.2851562
1656293131,1448984718.6601562
1656293132,1448995400.03125
1656293133,1449006081.40625
1656293134,1449016762.78125
1656293135,1449027444.15625
1656293136,1449038125.53125
1656293137,1449048806.90625
1656293138,1449059488.2773438
1656293139,1449070169.6523438
