epoch,if_octets_tx
1656293029,277555218920.5
1656293030,277556447787.0
1656293031,277557676653.5
1656293032,277558905520.0
1656293033,277560134386.5
1656293034,277561363253.0
1656293035,277562592119.5
1656293036,277563820986.0
1656293037,277565049852.75
1656293038,277566278719.25
1656293039,277567507585.75
1656293040,277568736452.25
1656293041,277569965318.75
1656293042,277571194185.25
1656293043,277572423051.75
1656293044,277573651918.25
1656293045,277574880785.0
1656293046,277576109651.5
1656293047,277577338518.0
1656293048,277578567384.5
1656293049,277579796251.0
1656293050,277581025117.5
1656293051,277582253984.0
1656293052,277583482850.5
1656293053,277584711717.25
1656293054,277585940583.75
1656293055,277587169450.25
1656293056,277588398316.75
1656293057,277589627183.25
1656293058,277590856049.75
1656293059,277592084916.25
1656293060,277593313782.75
1656293061,277594542649.5
1656293062,277595771516.0
1656293063,277597000382.5
1656293064,277598229249.0
1656293065,277599458115.5
1656293066,277600686982.0
1656293067,277601915848.5
1656293068,277603144715.0
1656293069,277604373581.75
1656293070,277605602448.25
1656293071,277606831314.75
1656293072,277608060181.25
1656293073,277609289047.75
1656293074,277610517914.25
1656293075,277611746780.75
1656293076,277612975647.25
1656293077,277614204514.0
1656293078,277615433380.5
1656293079,277616662247.0
1656293080,277617891113.5
1656293081,277619119980.0
1656293082,277620348846.5
1656293083,277621577713.0
1656293084,277622806579.5
1656293085,277624035446.25
1656293086,277625264312.75
1656293087,277626493179.25
1656293088,277627722045.75
1656293089,277628950912.25
1656293090,277630179778.75
1656293091,277631408645.25
1656293092,277632637511.75
1656293093,277633866378.5
1656293094,277635095245.0
1656293095,277636324111.5
1656293096,277637552978.0
1656293097,277638781844.5
1656293098,277640010711.0
1656293099,277641239577.5
1656293100,277642468444.0
1656293101,277643697310.75
1656293102,277644926177.25
1656293103,277646155043.75
1656293104,277647383910.25
1656293105,277648612776.75
1656293106,277649841643.25
1656293107,277651070509.75
1656293108,277652299376.25
1656293109,277653528243.0
1656293110,277654757109.5
1656293111,277655985976.0
1656293112,277657214842.5
1656293113,277658443709.0
1656293114,277659672575.5
1656293115,277660901442.0
1656293116,277662130308.5
1656293117,277663359175.25
1656293118,277664588041.75
1656293119,277665816908.25
1656293120,277667045774.75
1656293121,277668274641.25
1656293122,277669503507.75
1656293123,277670732374.25
1656293124,277671961240.75
1656293125,277673190107.5
1656293126,277674418974.0
1656293127,277675647840.5
1656293128,277676876707.0
1656293129,277678105573.5
1656293130,277679334440.0
1656293131,277680563306.5
1656293132,277681792173.0
1656293133,277683021039.75
1656293134,277684249906.25
1656293135,277685478772.75
1656293136,277686707639.25
1656293137,277687936505.75
1656293138,277689165372.25
1656293139,277690394238.75
1656293140,
1656293141,277692851971.75
1656293142,277694080838.5
1656293143,277695309705.0
1656293144,277696538571.5
1656293145,277697767438.0
1656293146,277698996304.5
1656293147,277700225171.0
1656293148,277701454037.5
1656293149,277702682904.0
1656293150,277703911770.75
1656293151,277705140637.25
1656293152,277706369503.75
1656293153,277707598370.25
1656293154,277708827236.75
1656293155,277710056103.25
1656293156,277711284969.75
1656293157,277712513836.25
1656293158,277713742703.0
1656293159,
1656293160,277716200436.0
1656293161,277717429302.5
1656293162,277718658169.0
1656293163,277719887035.5
1656293164,277721115902.0
1656293165,277722344768.5
1656293166,277723573635.25
1656293167,277724802501.75
1656293168,277726031368.25
1656293169,277727260234.75
1656293170,277728489101.25
1656293171,277729717967.75
1656293172,277730946834.25
1656293173,277732175700.75
1656293174,277733404567.5
1656293175,277734633434.0
1656293176,277735862300.5
1656293177,277737091167.0
1656293178,277738320033.5
1656293179,277739548900.0
1656293180,277740777766.5
1656293181,277742006633.0
1656293182,277743235499.75
1656293183,277744464366.25
1656293184,277745693232.75
1656293185,277746922099.25
1656293186,277748150965.75
1656293187,277749379832.25
1656293188,277750608698.75
1656293189,277751837565.25
1656293190,277753066432.0
1656293191,
1656293192,277755524165.0
1656293193,277756753031.5
1656293194,277757981898.0
1656293195,277759210764.5
1656293196,277760439631.0
1656293197,277761668497.5
1656293198,277762897364.25
1656293199,277764126230.75
1656293200,277765355097.25
1656293201,277766583963.75
1656293202,277767812830.25
1656293203,277769041696.75
1656293204,277770270563.25
1656293205,277771499429.75
1656293206,277772728296.5
1656293207,277773957163.0
1656293208,277775186029.5
1656293209,277776414896.0
1656293210,277777643762.5
1656293211,277778872629.0
1656293212,277780101495.5
1656293213,277781330362.0
1656293214,277782559228.75
1656293215,277783788095.25
1656293216,277785016961.75
1656293217,277786245828.25
1656293218,277787474694.75
1656293219,277788703561.25
1656293220,277789932427.75
1656293221,277791161294.25
1656293222,277792390161.0
1656293223,277793619027.5
1656293224,277794847894.0
1656293225,277796076760.5
1656293226,277797305627.0
1656293227,277798534493.5
1656293228,277799763360.0
1656293229,277800992226.5
1656293230,277802221093.25
1656293231,277803449959.75
1656293232,277804678826.25
1656293233,277805907692.75
1656293234,277807136559.25
1656293235,277808365425.75
1656293236,277809594292.25
1656293237,277810823158.75
1656293238,277812052025.5
1656293239,277813280892.0
1656293240,277814509758.5
1656293241,277815738625.0
1656293242,277816967491.5
1656293243,277818196358.0
1656293244,277819425224.5
1656293245,277820654091.0
1656293246,277821882957.5
1656293247,277823111824.25
1656293248,277824340690.75
1656293249,277825569557.25
1656293250,277826798423.75
1656293251,277828027290.25
1656293252,277829256156.75
1656293253,277830485023.25
1656293254,277831713889.75
1656293255,277832942756.5
1656293256,277834171623.0
1656293257,277835400489.5
1656293258,277836629356.0
1656293259,277837858222.5
1656293260,277839087089.0
1656293261,277840315955.5
1656293262,277841544822.0
1656293263,277842773688.75
1656293264,277844002555.25
1656293265,277845231421.75
1656293266,277846460288.25
1656293267,277847689154.75
1656293268,277848918021.25
1656293269,277850146887.75
1656293270,277851375754.25
1656293271,277852604621.0
1656293272,277853833487.5
1656293273,277855062354.0
1656293274,277856291220.5
1656293275,277857520087.0
1656293276,277858748953.5
1656293277,277859977820.0
1656293278,277861206686.5
1656293279,277862435553.25
1656293280,277863664419.75
1656293281,277864893286.25
1656293282,277866122152.75
1656293283,277867351019.25
1656293284,277868579885.75
1656293285,277869808752.25
1656293286,277871037618.75
1656293287,277872266485.5
1656293288,277873495352.0
1656293289,277874724218.5
1656293290,277875953085.0
1656293291,277877181951.5
1656293292,277878410818.0
1656293293,277879639684.5
1656293294,277880868551.0
1656293295,277882097417.75
1656293296,277883326284.25
1656293297,277884555150.75
1656293298,277885784017.25
1656293299,277887012883.75
1656293300,277888241750.25
1656293301,277889470616.75
1656293302,277890699483.25
1656293303,277891928350.0
1656293304,277893157216.5
1656293305,277894386083.0
1656293306,277895614949.5
1656293307,277896843816.0
1656293308,277898072682.5
1656293309,277899301549.0
1656293310,277900530415.5
1656293311,277901759282.25
1656293312,277902988148.75
1656293313,277904217015.25
1656293314,277905445881.75
1656293315,277906674748.25
1656293316,277907903614.75
1656293317,277909132481.25
1656293318,277910361347.75
1656293319,277911590214.5
1656293320,277912819081.0
1656293321,277914047947.5
1656293322,277915276814.0
1656293323,277916505680.5
1656293324,277917734547.0
1656293325,277918963413.5
1656293326,277920192280.0
1656293327,277921421146.75
1656293328,277922650013.25
1656293329,277923878879.75
1656293330,277925107746.25
1656293331,277926336612.75
1656293332,277927565479.25
1656293333,277928794345.75
1656293334,277930023212.25
1656293335,277931252079.0
1656293336,277932480945.5
1656293337,277933709812.0
1656293338,277934938678.5
1656293339,277936167545.0
1656293340,277937396411.5
1656293341,277938625278.0
1656293342,277939854144.5
1656293343,277941083011.25
1656293344,277942311877.75
1656293345,277943540744.25
1656293346,277944769610.75
1656293347,277945998477.25
1656293348,277947227343.75
1656293349,277948456210.25
1656293350,277949685076.75
1656293351,277950913943.25
1656293352,277952142810.0
1656293353,277953371676.5
1656293354,277954600543.0
1656293355,277955829409.5
1656293356,277957058276.0
1656293357,277958287142.5
1656293358,277959516009.0
1656293359,277960744875.5
1656293360,277961973742.25
1656293361,277963202608.75
1656293362,277964431475.25
1656293363,277965660341.75
1656293364,277966889208.25
1656293365,277968118074.75
1656293366,277969346941.25
1656293367,277970575807.75
1656293368,277971804674.5
1656293369,277973033541.0
