epoch,if_packets_tx
1656293029,1434784410.4726562
1656293030,1434795080.0273438
1656293031,1434805749.5859375
1656293032,1434816419.140625
1656293033,1434827088.6992188
1656293034,1434837758.2578125
1656293035,1434848427.8125
1656293036,1434859097.3710938
1656293037,1434869766.9296875
1656293038,1434880436.484375
1656293039,1434891106.0429688
1656293040,1434901775.5976562
1656293041,1434912445.15625
1656293042,1434923114.7148438
1656293043,1434933784.2695312
1656293044,1434944453.828125
1656293045,1434955123.3828125
1656293046,1434965792.9414062
1656293047,1434976462.5
1656293048,1434987132.0546875
1656293049,1434997801.6132812
1656293050,1435008471.171875
1656293051,1435019140.7265625
1656293052,1435029810.2851562
1656293053,1435040479.8398438
1656293054,1435051149.3984375
1656293055,1435061818.9570312
1656293056,1435072488.5117188
1656293057,1435083158.0703125
1656293058,1435093827.625
1656293059,1435104497.1835938
1656293060,1435115166.7421875
1656293061,1435125836.296875
1656293062,1435136505.8554688
1656293063,1435147175.4101562
1656293064,1435157844.96875
1656293065,1435168514.5273438
1656293066,1435179184.0820312
1656293067,1435189853.640625
1656293068,1435200523.1992188
1656293069,1435211192.7539062
1656293070,1435221862.3125
1656293071,1435232531.8671875
1656293072,1435243201.4257812
1656293073,1435253870.984375
1656293074,1435264540.5390625
1656293075,1435275210.0976562
1656293076,1435285879.6523438
1656293077,1435296549.2109375
1656293078,1435307218.7695312
1656293079,1435317888.3242188
1656293080,1435328557.8828125
1656293081,1435339227.4414062
1656293082,1435349896.9960938
1656293083,1435360566.5546875
1656293084,1435371236.109375
1656293085,1435381905.6679688
1656293086,1435392575.2265625
1656293087,1435403244.78125
1656293088,1435413914.3398438
1656293089,1435424583.8945312
1656293090,1435435253.453125
1656293091,1435445923.0117188
1656293092,1435456592.5664062
1656293093,1435467262.125
1656293094,1435477931.6835938
1656293095,1435488601.2382812
1656293096,1435499270.796875
1656293097,1435509940.3515625
1656293098,1435520609.9101562
1656293099,1435531279.46875
1656293100,1435541949.0234375
1656293101,1435552618.5820312
1656293102,1435563288.1367188
1656293103,1435573957.6953125
1656293104,1435584627.2539062
1656293105,1435595296.8085938
1656293106,1435605966.3671875
1656293107,1435616635.921875
1656293108,1435627305.4804688
1656293109,1435637975.0390625
1656293110,1435648644.59375
1656293111,1435659314.1523438
1656293112,1435669983.7109375
1656293113,1435680653.265625
1656293114,1435691322.8242188
1656293115,1435701992.3789062
1656293116,1435712661.9375
1656293117,1435723331.4960938
1656293118,1435734001.0507812
1656293119,1435744670.609375
1656293120,1435755340.1640625
1656293121,1435766009.7226562
1656293122,1435776679.28125
1656293123,1435787348.8359375
1656293124,1435798018.3945312
1656293125,1435808687.953125
1656293126,1435819357.5078125
1656293127,1435830027.0664062
1656293128,1435840696.6210938
1656293129,1435851366.1796875
1656293130,1435862035.7382812
1656293131,1435872705.2929688
1656293132,1435883374.8515625
1656293133,1435894044.40625
1656293134,1435904713.9648438
1656293135,1435915383.5234375
1656293136,1435926053.078125
1656293137,1435936722.6367188
1656293138,1435947392.1914062
1656293139,1435958061.75
1656293140,1435968731.3085938
1656293141,1435979400.8632812
1656293142,1435990070.421875
1656293143,1436000739.9804688
1656293144,1436011409.5351562
1656293145,1436022079.09375
1656293146,1436032748.6484375
1656293147,1436043418.2070312
1656293148,1436054087.765625
1656293149,1436064757.3203125
1656293150,1436075426.8789062
1656293151,1436086096.4335938
1656293152,1436096765.9921875
1656293153,1436107435.5507812
1656293154,1436118105.1054688
1656293155,1436128774.6640625
1656293156,1436139444.2226562
1656293157,1436150113.7773438
1656293158,1436160783.3359375
1656293159,1436171452.890625
1656293160,1436182122.4492188
1656293161,1436192792.0078125
1656293162,1436203461.5625
1656293163,1436214131.1210938
1656293164,1436224800.6757812
1656293165,1436235470.234375
1656293166,1436246139.7929688
1656293167,1436256809.3476562
1656293168,1436267478.90625
1656293169,1436278148.4648438
1656293170,1436288818.0195312
1656293171,1436299487.578125
1656293172,1436310157.1328125
1656293173,1436320826.6914062
1656293174,1436331496.25
1656293175,1436342165.8046875
1656293176,1436352835.3632812
1656293177,1436363504.9179688
1656293178,1436374174.4765625
1656293179,1436384844.0351562
1656293180,1436395513.5898438
1656293181,1436406183.1484375
1656293182,1436416852.703125
1656293183,1436427522.2617188
1656293184,1436438191.8203125
1656293185,1436448861.375
1656293186,1436459530.9335938
1656293187,1436470200.4921875
1656293188,1436480870.046875
1656293189,1436491539.6054688
1656293190,1436502209.1601562
1656293191,1436512878.71875
1656293192,1436523548.2773438
1656293193,1436534217.8320312
1656293194,1436544887.390625
1656293195,1436555556.9453125
1656293196,1436566226.5039062
1656293197,1436576896.0625
1656293198,1436587565.6171875
1656293199,1436598235.1757812
1656293200,1436608904.734375
1656293201,1436619574.2890625
1656293202,1436630243.8476562
1656293203,1436640913.4023438
1656293204,1436651582.9609375
1656293205,1436662252.5195312
1656293206,1436672922.0742188
1656293207,1436683591.6328125
1656293208,1436694261.1875
1656293209,1436704930.7460938
1656293210,1436715600.3046875
1656293211,1436726269.859375
1656293212,1436736939.4179688
1656293213,1436747608.9726562
1656293214,1436758278.53125
1656293215,1436768948.0898438
1656293216,1436779617.6445312
1656293217,1436790287.203125
1656293218,1436800956.7617188
1656293219,1436811626.3164062
1656293220,1436822295.875
1656293221,1436832965.4296875
1656293222,1436843634.9882812
1656293223,1436854304.546875
1656293224,1436864974.1015625
1656293225,1436875643.6601562
1656293226,1436886313.2148438
1656293227,1436896982.7734375
1656293228,1436907652.3320312
1656293229,1436918321.8867188
1656293230,1436928991.4453125
1656293231,1436939661.0039062
1656293232,1436950330.5585938
1656293233,1436961000.1171875
1656293234,1436971669.671875
1656293235,1436982339.2304688
1656293236,1436993008.7890625
1656293237,1437003678.34375
1656293238,1437014347.9023438
1656293239,1437025017.4570312
