epoch,memory-free
1656293029,75848847487.66623
1656293030,75849168084.8558
1656293031,75850393958.11046
1656293032,75852534731.51503
1656293033,75855600029.15427
1656293034,75859599475.11295
1656293035,75864539574.51646
1656293036,75870415081.08873
1656293037,75877220641.95677
1656293038,75884952087.1578
1656293039,75893605361.34744
1656293040,75903176409.18137
1656293041,75913661175.31519
1656293042,75925055604.40457
1656293043,75937355641.10518
1656293044,75950557230.07263
1656293045,75964656315.96262
1656293046,75979648843.43077
1656293047,75995530757.13274
1656293048,76012298001.72415
1656293049,76029946521.86073
1656293050,76048472262.19806
1656293051,76067871167.39178
1656293052,76088139182.09758
1656293053,76109272250.97112
1656293054,76131266318.66803
1656293055,76154117329.84396
1656293056,76177821229.15457
1656293057,76202373961.25548
1656293058,76227771470.80238
1656293059,76254009702.4509
1656293060,76281084600.8567
1656293061,76308992110.67543
1656293062,76337728176.56274
1656293063,76367288743.17427
1656293064,76397669755.16566
1656293065,76428867157.19258
1656293066,76460876893.9107
1656293067,76493694909.97565
1656293068,76527317150.04306
1656293069,76561739558.76863
1656293070,76596958080.80797
1656293071,76632968660.81673
1656293072,76669767243.45058
1656293073,76707349773.36514
1656293074,76745712195.21611
1656293075,76784850453.65912
1656293076,76824760493.3498
1656293077,76865438258.94383
1656293078,76906879695.09683
1656293079,76949080746.46446
1656293080,76992037357.70238
1656293081,77035745473.46625
1656293082,77080201038.41171
1656293083,77125399997.19441
1656293084,77171338294.47002
1656293085,77218011874.89412
1656293086,77265416683.12244
1656293087,77313548663.8106
1656293088,77362403761.61424
1656293089,77411977921.18907
1656293090,77462267087.19064
1656293091,77513267204.27467
1656293092,77564974217.09676
1656293093,77617384070.31267
1656293094,77670492708.57791
1656293095,77724296076.5482
1656293096,77778790118.87924
1656293097,77833970780.22658
1656293098,77889834005.24594
1656293099,77946375738.59293
1656293100,78003591924.92323
1656293101,78061478508.8925
1656293102,78120031435.15636
1656293103,78179246648.37045
1656293104,78239120093.19044
1656293105,78299647714.27202
1656293106,78360825456.27078
1656293107,78422649263.84238
1656293108,78485115081.6425
1656293109,78548218854.32677
1656293110,78611956526.55084
1656293111,78676324042.97038
1656293112,78741316754.11276
1656293113,78806927633.9924
1656293114,78873149062.49548
1656293115,78939973419.50813
1656293116,79007391996.54094
1656293117,79075391731.60188
1656293118,79143958474.32361
1656293119,79213078074.3385
1656293120,79282736381.27911
1656293121,79352919244.77788
1656293122,79423612514.46727
1656293123,79494802039.97983
1656293124,79566473670.94803
1656293125,79638613257.00435
1656293126,79711206647.78128
1656293127,79784239692.91129
1656293128,79857698242.02689
1656293129,79931568144.76056
1656293130,80005832262.70816
1656293131,80080461505.31894
1656293132,80155423794.00557
1656293133,80230687050.18063
1656293134,80306219195.25684
1656293135,80381988150.64679
1656293136,80457961837.76309
1656293137,80534108178.01846
1656293138,80610395092.82545
1656293139,80686790503.59677
1656293140,80763262331.74498
1656293141,80839778498.68279
1656293142,80916306925.82278
1656293143,80992815534.57764
1656293144,81069272246.35997
1656293145,81145644982.58243
1656293146,81221901664.65761
1656293147,81298010213.99823
1656293148,81373938552.01686
1656293149,81449654600.12616
1656293150,81525126279.73875
1656293151,81600321512.26732
1656293152,81675208219.12444
1656293153,81749754321.72281
1656293154,81823927741.475
1656293155,81897696399.79373
1656293156,81971028218.09154
1656293157,82043891117.78114
1656293158,82116253020.27515
1656293159,82188081846.9862
1656293160,82259345519.32693
1656293161,82330011958.70999
1656293162,82400049086.54799
1656293163,82469424824.25357
1656293164,82538107093.23941
1656293165,82606063814.91809
1656293166,82673262910.7023
1656293167,82739672302.00464
1656293168,82805259910.23775
1656293169,82869993656.81429
1656293170,82933841463.1469
1656293171,82996771250.64816
1656293172,83058750940.73077
1656293173,83119748454.80734
1656293174,83179731714.29053
1656293175,83238668640.59294
1656293176,83296527155.12727
1656293177,83353275179.30609
1656293178,83408880634.54208
1656293179,83463311442.24785
1656293180,83516535523.83604
1656293181,83568520800.7193
1656293182,83619235194.31024
1656293183,83668646626.02158
1656293184,83716723017.26584
1656293185,83763432289.45576
1656293186,83808742364.00392
1656293187,83852621162.32297
1656293188,83895036605.82553
1656293189,83935956615.92426
1656293190,83975349114.03183
1656293191,84013182021.5608
1656293192,84049423259.92383
1656293193,84084040750.5336
1656293194,84117002414.80275
1656293195,84148276174.14386
1656293196,84177829949.96959
1656293197,84205631663.69261
1656293198,84231649236.72552
1656293199,84255850590.48096
1656293200,84278203646.37161
1656293201,84298676325.81006
1656293202,84317236550.20895
1656293203,84333852240.98093
1656293204,84348491319.53865
1656293205,84361121707.29471
1656293206,84371711325.66179
1656293207,84380228096.05249
1656293208,84386639939.87949
1656293209,84390914778.55539
1656293210,84393020533.49284
1656293211,84392925126.10449
1656293212,84390596488.78987
1656293213,84386002597.89632
1656293214,84379111440.7579
1656293215,84369891004.7089
1656293216,84358309277.08345
1656293217,84344333582.00389
1656293218,84327928590.7448
1656293219,84309058311.36897
1656293220,84287686751.93912
1656293221,84263777920.51802
1656293222,84237295825.16844
1656293223,84208208575.29915
1656293224,84176500685.70332
1656293225,84142160772.52014
1656293226,84105177451.88882
1656293227,84065539339.94858
