epoch,if_octets_tx
1655651103,17812832669760.0
1655651104,17812999908960.0
1655651105,17813167148160.0
1655651106,17813334387392.0
1655651107,17813501626592.0
1655651108,17813668865792.0
1655651109,17813836104992.0
1655651110,17814003344224.0
1655651111,17814170583424.0
1655651112,17814337822624.0
1655651113,17814505061856.0
1655651114,17814672301056.0
1655651115,17814839540256.0
1655651116,17815006779456.0
1655651117,17815174018688.0
1655651118,17815341257888.0
1655651119,17815508497088.0
1655651120,17815675736288.0
1655651121,17815842975520.0
1655651122,17816010214720.0
1655651123,17816177453920.0
1655651124,17816344693152.0
1655651125,17816511932352.0
1655651126,17816679171552.0
1655651127,17816846410752.0
1655651128,17817013649984.0
1655651129,17817180889184.0
1655651130,17817348128384.0
1655651131,17817515367584.0
1655651132,17817682606816.0
1655651133,17817849846016.0
1655651134,17818017085216.0
1655651135,17818184324448.0
1655651136,17818351563648.0
1655651137,17818518802848.0
1655651138,17818686042048.0
1655651139,17818853281280.0
1655651140,17819020520480.0
1655651141,17819187759680.0
1655651142,17819354998880.0
1655651143,17819522238112.0
1655651144,17819689477312.0
1655651145,17819856716512.0
1655651146,17820023955744.0
1655651147,17820191194944.0
1655651148,17820358434144.0
1655651149,17820525673344.0
1655651150,17820692912576.0
1655651151,17820860151776.0
1655651152,17821027390976.0
1655651153,17821194630176.0
1655651154,17821361869408.0
1655651155,17821529108608.0
1655651156,17821696347808.0
1655651157,17821863587040.0
1655651158,17822030826240.0
1655651159,17822198065440.0
1655651160,17822365304640.0
1655651161,17822532543872.0
1655651162,17822699783072.0
1655651163,17822867022272.0
1655651164,17823034261472.0
1655651165,17823201500704.0
1655651166,17823368739904.0
1655651167,17823535979104.0
1655651168,17823703218336.0
1655651169,17823870457536.0
1655651170,17824037696736.0
1655651171,17824204935936.0
1655651172,17824372175168.0
1655651173,17824539414368.0
1655651174,17824706653568.0
1655651175,17824873892768.0
1655651176,17825041132000.0
1655651177,17825208371200.0
1655651179,17825542849632.0
1655651180,17825710088832.0
1655651181,17825877328032.0
1655651182,17826044567232.0
1655651183,17826211806464.0
1655651184,17826379045664.0
1655651185,17826546284864.0
1655651186,17826713524064.0
1655651187,17826880763296.0
1655651188,17827048002496.0
1655651189,17827215241696.0
1655651190,17827382480896.0
1655651191,17827549720128.0
1655651192,17827716959328.0
1655651193,17827884198528.0
1655651194,17828051437760.0
1655651195,17828218676960.0
1655651196,17828385916160.0
1655651197,17828553155360.0
1655651198,17828720394592.0
1655651199,17828887633792.0
1655651200,17829054872992.0
1655651201,17829222112192.0
1655651202,17829389351424.0
1655651203,17829556590624.0
1655651204,17829723829824.0
1655651205,17829891069056.0
1655651206,17830058308256.0
1655651207,17830225547456.0
1655651208,17830392786656.0
1655651209,17830560025888.0
1655651210,17830727265088.0
1655651211,17830894504288.0
1655651212,17831061743488.0
1655651213,17831228982720.0
1655651214,17831396221920.0
1655651215,17831563461120.0
1655651216,17831730700352.0
1655651217,17831897939552.0
1655651218,17832065178752.0
1655651219,17832232417952.0
1655651220,17832399657184.0
1655651221,17832566896384.0
1655651222,17832734135584.0
1655651223,17832901374784.0
1655651224,17833068614016.0
1655651225,17833235853216.0
1655651226,17833403092416.0
1655651227,17833570331648.0
1655651228,17833737570848.0
1655651229,17833904810048.0
1655651230,17834072049248.0
1655651231,17834239288480.0
1655651232,17834406527680.0
1655651233,17834573766880.0
1655651234,17834741006080.0
1655651235,17834908245312.0
1655651236,17835075484512.0
1655651237,17835242723712.0
1655651238,17835409962944.0
1655651239,17835577202144.0
1655651240,17835744441344.0
1655651241,17835911680544.0
1655651242,17836078919776.0
1655651243,17836246158976.0
1655651244,17836413398176.0
1655651245,17836580637376.0
1655651246,17836747876608.0
1655651247,17836915115808.0
1655651248,17837082355008.0
1655651249,17837249594240.0
1655651250,17837416833440.0
1655651251,17837584072640.0
1655651252,17837751311840.0
1655651253,17837918551072.0
1655651254,17838085790272.0
1655651255,17838253029472.0
1655651256,17838420268672.0
1655651257,17838587507904.0
1655651258,17838754747104.0
1655651259,17838921986304.0
1655651260,17839089225504.0
1655651261,17839256464736.0
1655651262,17839423703936.0
1655651263,17839590943136.0
1655651264,17839758182368.0
1655651265,17839925421568.0
1655651266,17840092660768.0
1655651267,17840259899968.0
1655651268,17840427139200.0
1655651269,17840594378400.0
1655651270,17840761617600.0
1655651271,17840928856800.0
1655651272,17841096096032.0
1655651273,17841263335232.0
1655651274,17841430574432.0
1655651275,17841597813664.0
1655651276,17841765052864.0
1655651277,17841932292064.0
1655651278,17842099531264.0
1655651279,17842266770496.0
1655651280,17842434009696.0
1655651281,17842601248896.0
1655651282,17842768488096.0
1655651283,17842935727328.0
1655651284,17843102966528.0
1655651285,17843270205728.0
1655651286,17843437444960.0
1655651287,17843604684160.0
1655651288,17843771923360.0
1655651289,17843939162560.0
1655651290,17844106401792.0
1655651291,17844273640992.0
1655651292,17844440880192.0
1655651293,17844608119392.0
1655651294,17844775358624.0
1655651295,17844942597824.0
1655651296,17845109837024.0
1655651297,17845277076256.0
1655651298,17845444315456.0
1655651299,17845611554656.0
1655651300,17845778793856.0
1655651301,17845946033088.0
