epoch,memory-used
1655651103,42611802014.73053
1655651104,42600168332.25555
1655651105,42588085964.7768
1655651106,42575624108.6065
1655651107,42562851960.05686
1655651108,42549838715.440094
1655651109,42536653571.0684
1655651110,42523365723.254
1655651111,42510044368.30909
1655651112,42496758702.54591
1655651113,42483579967.33724
1655651114,42470587584.29827
1655651115,42457863684.57781
1655651116,42445493057.217064
1655651117,42433561155.73029
1655651118,42422158344.47481
1655651119,42411394631.18032
1655651120,42401384934.41964
1655651121,42392244172.765564
1655651122,42384087264.79086
1655651123,42377029129.06835
1655651124,42371184684.170815
1655651125,42366668848.671036
1655651126,42363596541.14182
1655651127,42362082680.15595
1655651128,42362242184.28624
1655651129,42364189972.105446
1655651130,42368038943.12651
1655651131,42373893920.62276
1655651132,42381841715.16343
1655651133,42391905162.74088
1655651134,42404091105.70334
1655651135,42418406386.39891
1655651136,42434857847.17578
1655651137,42453452330.382095
1655651138,42474196678.36601
1655651139,42497097733.475746
1655651140,42522162338.05939
1655651141,42549397334.46513
1655651142,42578809565.04115
1655651143,42610405872.13559
1655651144,42644193098.09662
1655651145,42680178085.2724
1655651146,42718367676.01108
1655651147,42758768712.660835
1655651148,42801388037.56983
1655651149,42846227785.30721
1655651150,42893271259.326096
1655651151,42942497055.300575
1655651152,42993883768.904755
1655651153,43047409995.81275
1655651154,43103054331.69865
1655651155,43160795372.23655
1655651156,43220611713.10056
1655651157,43282481949.9648
1655651158,43346384678.50335
1655651159,43412298494.39031
1655651160,43480201993.2998
1655651161,43550073770.90591
1655651162,43621892422.88272
1655651163,43695636068.070496
1655651164,43771280917.97388
1655651165,43848802707.26366
1655651166,43928177170.610634
1655651167,44009380042.685585
1655651168,44092387058.1593
1655651169,44177173951.702576
1655651170,44263715050.52914
1655651171,44351979052.02445
1655651172,44441933246.11693
1655651173,44533544922.734985
1655651174,44626781371.80704
1655651175,44721609883.261475
1655651176,44817997747.02672
1655651177,44915912253.03121
1655651179,45015320691.2033
1655651180,45116190351.47146
1655651181,45218488523.76403
1655651182,45322182498.00949
1655651183,45427239564.136215
1655651184,45533627012.07263
1655651185,45641312131.74713
1655651186,45750262213.08814
1655651187,45860444546.024055
1655651188,45971826420.483315
1655651189,46084375126.39429
1655651190,46198057953.685425
1655651191,46312842192.28511
1655651192,46428695132.121765
1655651193,46545584063.1238
1655651194,46663476275.21962
1655651195,46782339058.337654
1655651196,46902139702.40627
1655651197,47022845497.35393
1655651198,47144423733.10901
1655651199,47266841699.59994
1655651200,47390066686.75512
1655651201,47514065984.50295
1655651202,47638806882.77188
1655651203,47764256671.49029
1655651204,47890382640.586586
1655651205,48017152079.98919
1655651206,48144532279.6265
1655651207,48272490529.42693
1655651208,48400994119.318924
1655651209,48530010339.23086
1655651210,48659506479.09114
1655651211,48789449828.8282
1655651212,48919807678.37044
1655651213,49050547317.64627
1655651214,49181636036.58409
1655651215,49313041125.112335
1655651216,49444729873.1594
1655651217,49576669570.65369
1655651218,49708827507.52362
1655651219,49841170973.69762
1655651220,49973667259.104065
1655651221,50106283653.67142
1655651222,50238987447.328026
1655651223,50371745930.00234
1655651224,50504526391.62277
1655651225,50637296122.11769
1655651226,50770022411.41557
1655651227,50902672549.44478
1655651228,51035213826.13374
1655651229,51167613531.41086
1655651230,51299838955.204544
1655651231,51431857387.443214
1655651232,51563636118.055275
1655651233,51695142436.96913
1655651234,51826343634.113205
1655651235,51957206999.41591
1655651236,52087699822.80563
1655651237,52217789394.210815
1655651238,52347443003.559845
1655651239,52476627940.78116
1655651240,52605313232.45081
1655651241,52733474851.73566
1655651242,52861090508.4502
1655651243,52988137912.40894
1655651244,53114594773.42641
1655651245,53240438801.31709
1655651246,53365651062.54097
1655651247,53490226050.139824
1655651248,53614161613.80089
1655651249,53737455603.21138
1655651250,53860105868.05858
1655651251,53982110258.02968
1655651252,54103466622.81195
1655651253,54224172812.092606
1655651254,54344226675.55888
1655651255,54463626062.898026
1655651256,54582368823.79729
1655651257,54700452807.943886
1655651258,54817875865.02504
1655651259,54934635844.72803
1655651260,55050730596.74004
1655651261,55166157970.74837
1655651262,55280915816.44019
1655651263,55395001983.502815
1655651264,55508414321.623405
1655651265,55621150680.48924
1655651266,55733208909.78754
1655651267,55844586859.20554
1655651268,55955282378.430504
1655651269,56065293317.149635
1655651270,56174617525.050186
1655651271,56283252851.81938
1655651272,56391197147.144485
1655651273,56498448260.71271
1655651274,56605004042.211296
1655651275,56710862341.327484
1655651276,56816021007.74851
1655651277,56920477891.16161
1655651278,57024230841.254036
1655651279,57127277707.71298
1655651280,57229616340.225746
1655651281,57331244588.479515
1655651282,57432160302.16153
1655651283,57532361330.95905
1655651284,57631845524.5593
1655651285,57730610732.649536
1655651286,57828654804.91698
1655651287,57925975591.04884
1655651288,58022570940.73239
1655651289,58118438703.65486
1655651290,58213576729.503494
1655651291,58307982867.9655
1655651292,58401654968.72812
1655651293,58494590881.47863
1655651294,58586788455.90423
1655651295,58678245541.69217
1655651296,58768959988.529686
1655651297,58858929646.104
1655651298,58948152364.10236
1655651299,59036625992.212006
1655651300,59124348380.12018
1655651301,59211317377.5141
1655651302,59297530834.08103
1655651303,59382986599.50818
1655651304,59467682523.48281
1655651305,59551616455.69213
1655651306,59634786245.823395
1655651307,59717189743.56383
1655651308,59798824798.60068
1655651309,59879689260.62119
1655651310,59959780979.31259
1655651311,60039097804.362114
1655651312,60117637585.45701
1655651313,60195398172.28448
1655651314,60272377414.53181
1655651315,60348573161.886185
1655651316,60423983264.03489
1655651317,60498605570.66513
1655651318,60572437931.46415
1655651319,60645478196.119194
1655651320,60717724214.3175
1655651321,60789173835.74629
1655651322,60859824910.092804
1655651323,60929675287.0443
1655651324,60998722816.287994
1655651325,61066965347.5111
1655651326,61134400730.40091
1655651327,61201026814.644646
1655651328,61266841449.92951
1655651329,61331842485.942764
1655651330,61396027772.37164
1655651331,61459395158.90338
1655651332,61521942495.22522
1655651333,61583667631.02438
1655651334,61644568415.98812
1655651335,61704642699.80368
1655651336,61763888332.158264
1655651337,61822303162.739136
1655651338,61879885041.23353
1655651339,61936631817.32867
1655651340,61992541340.71181
1655651341,62047611461.070175
1655651342,62101840028.091
1655651343,62155224891.46152
1655651344,62207763900.86899
1655651346,62259454906.00064
1655651347,62310295756.543686
1655651349,62360284302.18539
1655651350,62409418392.61297
1655651351,62457695877.51368
1655651352,62505114606.574745
1655651353,62551672429.483406
1655651354,62597367195.92691
1655651356,62642196755.59247
1655651357,62686158958.167336
1655651358,62729251653.33875
1655651359,62771472690.79394
1655651360,62812819920.220146
1655651361,62853291191.30461
1655651362,62892884353.73456
1655651363,62931597257.19723
1655651364,62969427751.37987
1655651365,63006373685.96971
1655651366,63042432910.65398
1655651367,63077603275.119934
1655651368,63111882629.054794
1655651369,63145268822.1458
1655651370,63177759704.080185
1655651371,63209353124.5452
1655651372,63240046933.22808
1655651373,63269838979.81604
1655651374,63298727113.996315
1655651375,63326709185.45617
1655651377,63353783043.88284
1655651378,63379946538.96354
1655651379,63405197520.38554
1655651380,63429533837.83602
1655651381,63452953341.00228
1655651383,63475453879.571526
1655651384,63497033303.23099
1655651385,63517689461.66789
1655651386,63537420204.56953
1655651388,63556223381.62307
1655651389,63574096842.5158
1655651390,63591038436.934944
1655651391,63607046014.56773
1655651392,63622117425.101395
1655651395,63636250518.22318
1655651396,63649444947.014435
1655651399,63661707578.13298
1655651400,63673047081.63077
1655651401,63683472127.55974
1655651402,63692991385.97182
1655651403,63701613526.91896
1655651404,63709347220.45308
1655651405,63716201136.62613
1655651406,63722183945.49006
1655651408,63727304317.09682
1655651409,63731570921.498314
1655651410,63734992428.74651
1655651411,63737577508.89333
