epoch,if_octets_rx
1655651103,15626827905568.0
1655651104,15626990940256.0
1655651105,15627153974944.0
1655651106,15627317009632.0
1655651107,15627480044320.0
1655651108,15627643079008.0
1655651109,15627806113696.0
1655651110,15627969148384.0
1655651111,15628132183072.0
1655651112,15628295217760.0
1655651113,15628458252448.0
1655651114,15628621287136.0
1655651115,15628784321824.0
1655651116,15628947356512.0
1655651117,15629110391200.0
1655651118,15629273425888.0
1655651119,15629436460576.0
1655651120,15629599495264.0
1655651121,15629762529952.0
1655651122,15629925564640.0
1655651123,15630088599328.0
1655651124,15630251634016.0
1655651125,15630414668704.0
1655651126,15630577703424.0
1655651127,15630740738112.0
1655651128,15630903772800.0
1655651129,15631066807488.0
1655651130,15631229842176.0
1655651131,15631392876864.0
1655651132,15631555911552.0
1655651133,15631718946240.0
1655651134,15631881980928.0
1655651135,15632045015616.0
1655651136,15632208050304.0
1655651137,15632371084992.0
1655651138,15632534119680.0
1655651139,15632697154368.0
1655651140,15632860189056.0
1655651141,15633023223744.0
1655651142,15633186258432.0
1655651143,15633349293120.0
1655651144,15633512327808.0
1655651145,15633675362496.0
1655651146,15633838397184.0
1655651147,15634001431872.0
1655651148,15634164466560.0
1655651149,15634327501248.0
1655651150,15634490535936.0
1655651151,15634653570624.0
1655651152,15634816605312.0
1655651153,15634979640000.0
1655651154,15635142674688.0
1655651155,15635305709376.0
1655651156,15635468744064.0
1655651157,15635631778752.0
1655651158,15635794813440.0
1655651159,15635957848128.0
1655651160,15636120882816.0
1655651161,15636283917504.0
1655651162,15636446952192.0
1655651163,15636609986880.0
1655651164,15636773021568.0
1655651165,15636936056256.0
1655651166,15637099090944.0
1655651167,15637262125632.0
1655651168,15637425160320.0
1655651169,15637588195008.0
1655651170,15637751229696.0
1655651171,15637914264384.0
1655651172,15638077299072.0
1655651173,15638240333760.0
1655651174,15638403368448.0
1655651175,15638566403136.0
1655651176,15638729437824.0
1655651177,15638892472512.0
1655651179,15639218541888.0
1655651180,15639381576576.0
1655651181,15639544611264.0
1655651182,15639707645952.0
1655651183,15639870680640.0
1655651184,15640033715328.0
1655651185,15640196750016.0
1655651186,15640359784704.0
1655651187,15640522819392.0
1655651188,15640685854080.0
1655651189,15640848888768.0
1655651190,15641011923456.0
1655651191,15641174958144.0
1655651192,15641337992832.0
1655651193,15641501027520.0
1655651194,15641664062208.0
