epoch,if_packets_rx
1655651103,7395579595.515625
1655651104,7395630573.890625
1655651105,7395681552.25
1655651106,7395732530.625
1655651107,7395783508.984375
1655651108,7395834487.359375
1655651109,7395885465.71875
1655651110,7395936444.078125
1655651111,7395987422.453125
1655651112,7396038400.8125
1655651113,7396089379.1875
1655651114,7396140357.546875
1655651115,7396191335.921875
1655651116,7396242314.28125
1655651117,7396293292.640625
1655651118,7396344271.015625
1655651119,7396395249.375
1655651120,7396446227.75
1655651121,7396497206.109375
1655651122,7396548184.484375
1655651123,7396599162.84375
1655651124,7396650141.203125
1655651125,7396701119.578125
1655651126,7396752097.9375
1655651127,7396803076.3125
1655651128,7396854054.671875
1655651129,7396905033.046875
1655651130,7396956011.40625
1655651131,7397006989.765625
1655651132,7397057968.140625
1655651133,7397108946.5
1655651134,7397159924.875
1655651135,7397210903.234375
1655651136,7397261881.59375
1655651137,7397312859.96875
1655651138,7397363838.328125
1655651139,7397414816.703125
1655651140,7397465795.0625
1655651141,7397516773.4375
1655651142,7397567751.796875
1655651143,7397618730.15625
1655651144,7397669708.53125
1655651145,7397720686.890625
1655651146,7397771665.265625
1655651147,7397822643.625
1655651148,7397873622.0
1655651149,7397924600.359375
1655651150,7397975578.71875
1655651151,7398026557.09375
1655651152,7398077535.453125
1655651153,7398128513.828125
1655651154,7398179492.1875
1655651155,7398230470.5625
1655651156,7398281448.921875
1655651157,7398332427.28125
1655651158,7398383405.65625
1655651159,7398434384.015625
1655651160,7398485362.390625
1655651161,7398536340.75
1655651162,7398587319.109375
1655651163,7398638297.484375
1655651164,7398689275.84375
1655651165,7398740254.21875
1655651166,7398791232.578125
1655651167,7398842210.953125
1655651168,7398893189.3125
1655651169,7398944167.671875
1655651170,7398995146.046875
1655651171,7399046124.40625
1655651172,7399097102.78125
1655651173,7399148081.140625
1655651174,7399199059.515625
1655651175,7399250037.875
1655651176,7399301016.234375
1655651177,7399351994.609375
1655651179,7399453951.34375
1655651180,7399504929.703125
1655651181,7399555908.078125
1655651182,7399606886.4375
1655651183,7399657864.796875
1655651184,7399708843.171875
1655651185,
1655651186,7399810799.90625
1655651187,7399861778.265625
1655651188,7399912756.625
1655651189,7399963735.0
1655651190,7400014713.359375
1655651191,7400065691.734375
1655651192,7400116670.09375
1655651193,7400167648.46875
1655651194,7400218626.828125
1655651195,7400269605.1875
1655651196,7400320583.5625
1655651197,7400371561.921875
1655651198,7400422540.296875
1655651199,7400473518.65625
1655651200,7400524497.03125
1655651201,7400575475.390625
1655651202,7400626453.75
1655651203,7400677432.125
1655651204,7400728410.484375
1655651205,7400779388.859375
1655651206,7400830367.21875
1655651207,7400881345.59375
1655651208,7400932323.953125
1655651209,7400983302.3125
1655651210,7401034280.6875
1655651211,7401085259.046875
1655651212,7401136237.421875
1655651213,7401187215.78125
1655651214,7401238194.15625
1655651215,7401289172.515625
1655651216,7401340150.875
1655651217,7401391129.25
1655651218,7401442107.609375
1655651219,7401493085.984375
1655651220,7401544064.34375
1655651221,7401595042.703125
1655651222,7401646021.078125
1655651223,7401696999.4375
1655651224,7401747977.8125
1655651225,7401798956.171875
1655651226,7401849934.546875
1655651227,7401900912.90625
1655651228,7401951891.265625
1655651229,7402002869.640625
1655651230,7402053848.0
1655651231,7402104826.375
1655651232,7402155804.734375
1655651233,7402206783.109375
1655651234,7402257761.46875
1655651235,7402308739.828125
1655651236,7402359718.203125
1655651237,7402410696.5625
1655651238,7402461674.9375
1655651239,7402512653.296875
1655651240,7402563631.671875
1655651241,7402614610.03125
1655651242,7402665588.390625
1655651243,7402716566.765625
1655651244,7402767545.125
1655651245,7402818523.5
1655651246,7402869501.859375
1655651247,7402920480.21875
1655651248,7402971458.59375
1655651249,7403022436.953125
1655651250,7403073415.328125
1655651251,7403124393.6875
1655651252,7403175372.0625
1655651253,7403226350.421875
1655651254,7403277328.78125
1655651255,7403328307.15625
1655651256,7403379285.515625
1655651257,7403430263.890625
1655651258,7403481242.25
1655651259,7403532220.625
1655651260,7403583198.984375
1655651261,7403634177.34375
1655651262,7403685155.71875
1655651263,7403736134.078125
1655651264,7403787112.453125
1655651265,7403838090.8125
1655651266,7403889069.1875
1655651267,7403940047.546875
1655651268,7403991025.90625
1655651269,7404042004.28125
1655651270,7404092982.640625
1655651271,7404143961.015625
1655651272,7404194939.375
1655651273,7404245917.75
1655651274,7404296896.109375
1655651275,7404347874.46875
1655651276,7404398852.84375
1655651277,7404449831.203125
1655651278,7404500809.578125
1655651279,7404551787.9375
1655651280,7404602766.296875
1655651281,7404653744.671875
1655651282,7404704723.03125
1655651283,7404755701.40625
1655651284,7404806679.765625
1655651285,7404857658.140625
1655651286,7404908636.5
1655651287,7404959614.859375
1655651288,7405010593.234375
1655651289,7405061571.59375
1655651290,7405112549.96875
1655651291,7405163528.328125
1655651292,7405214506.703125
1655651293,7405265485.0625
1655651294,7405316463.421875
1655651295,7405367441.796875
1655651296,7405418420.15625
1655651297,7405469398.53125
1655651298,7405520376.890625
1655651299,7405571355.265625
1655651300,7405622333.625
1655651301,7405673311.984375
1655651302,7405724290.359375
1655651303,7405775268.71875
1655651304,7405826247.09375
1655651305,7405877225.453125
1655651306,7405928203.8125
1655651307,7405979182.1875
1655651308,7406030160.546875
1655651309,7406081138.921875
1655651310,7406132117.28125
1655651311,7406183095.65625
1655651312,7406234074.015625
1655651313,7406285052.375
1655651314,7406336030.75
1655651315,7406387009.109375
1655651316,7406437987.484375
1655651317,7406488965.84375
1655651318,7406539944.21875
1655651319,7406590922.578125
1655651320,7406641900.9375
1655651321,7406692879.3125
1655651322,7406743857.671875
1655651323,7406794836.046875
1655651324,7406845814.40625
1655651325,7406896792.78125
1655651326,7406947771.140625
1655651327,7406998749.5
1655651328,7407049727.875
1655651329,7407100706.234375
1655651330,7407151684.609375
1655651331,7407202662.96875
1655651332,
1655651333,7407304619.703125
1655651334,7407355598.0625
1655651335,7407406576.4375
1655651336,7407457554.796875
1655651337,7407508533.171875
1655651338,
1655651339,7407610489.890625
1655651340,7407661468.265625
1655651341,7407712446.625
1655651342,7407763425.0
1655651343,
1655651344,7407865381.734375
1655651346,7407967338.453125
1655651347,7408018316.828125
1655651349,7408120273.5625
1655651350,7408171251.921875
1655651351,7408222230.296875
1655651352,7408273208.65625
1655651353,7408324187.015625
1655651354,
1655651356,7408477122.125
1655651357,7408528100.484375
1655651358,7408579078.859375
1655651359,7408630057.21875
1655651360,7408681035.578125
1655651361,7408732013.953125
1655651362,7408782992.3125
1655651363,
1655651364,7408884949.046875
1655651365,7408935927.40625
1655651366,7408986905.78125
1655651367,7409037884.140625
1655651368,7409088862.515625
1655651369,7409139840.875
1655651370,7409190819.25
1655651371,7409241797.609375
1655651372,
1655651373,7409343754.34375
1655651374,7409394732.703125
1655651375,7409445711.078125
1655651377,7409547667.8125
1655651378,7409598646.171875
1655651379,7409649624.53125
1655651380,7409700602.90625
1655651381,7409751581.265625
1655651383,
1655651384,
1655651385,7409955494.734375
1655651386,7410006473.09375
1655651388,7410108429.828125
1655651389,7410159408.203125
1655651390,7410210386.5625
1655651391,7410261364.921875
1655651392,7410312343.296875
1655651395,7410465278.390625
1655651396,7410516256.765625
1655651399,7410669191.859375
1655651400,7410720170.21875
1655651401,7410771148.59375
1655651402,
1655651403,7410873105.328125
1655651404,7410924083.6875
1655651405,7410975062.046875
1655651406,7411026040.421875
1655651408,7411127997.15625
1655651409,7411178975.515625
1655651410,7411229953.890625
1655651411,7411280932.25
1655651412,7411331910.609375
1655651413,7411382888.984375
1655651414,7411433867.34375
1655651415,7411484845.71875
1655651416,7411535824.078125
1655651418,7411637780.8125
1655651419,7411688759.171875
1655651420,7411739737.546875
1655651421,
1655651422,7411841694.28125
1655651423,7411892672.640625
1655651424,7411943651.0
1655651425,7411994629.375
1655651426,7412045607.734375
1655651427,7412096586.109375
1655651428,7412147564.46875
1655651429,7412198542.84375
1655651430,7412249521.203125
1655651431,7412300499.5625
1655651432,7412351477.9375
1655651433,7412402456.296875
1655651434,7412453434.671875
1655651435,7412504413.03125
1655651437,
1655651438,7412657348.125
1655651440,7412759304.859375
1655651441,7412810283.234375
1655651442,7412861261.59375
1655651443,7412912239.96875
1655651444,7412963218.328125
1655651445,7413014196.6875
1655651446,7413065175.0625
1655651447,7413116153.421875
1655651448,7413167131.796875
1655651449,
1655651450,7413269088.515625
1655651452,7413371045.25
1655651453,7413422023.625
1655651454,7413473001.984375
1655651455,7413523980.359375
1655651457,
1655651458,7413676915.453125
1655651459,
1655651460,7413778872.1875
1655651461,7413829850.546875
1655651462,7413880828.921875
1655651463,
1655651464,7413982785.640625
1655651465,7414033764.015625
1655651466,7414084742.375
1655651468,7414186699.109375
1655651469,
1655651470,7414288655.84375
1655651471,7414339634.203125
1655651472,7414390612.578125
1655651473,7414441590.9375
1655651474,7414492569.3125
1655651475,7414543547.671875
1655651476,7414594526.03125
1655651477,7414645504.40625
1655651478,7414696482.765625
1655651479,7414747461.140625
1655651480,7414798439.5
1655651481,7414849417.875
1655651482,
1655651483,7414951374.59375
1655651484,7415002352.96875
1655651485,7415053331.328125
1655651486,7415104309.703125
1655651487,7415155288.0625
1655651488,
1655651489,
1655651490,7415308223.15625
1655651491,7415359201.53125
1655651492,7415410179.890625
1655651493,
1655651494,7415512136.625
1655651495,7415563115.0
1655651496,7415614093.359375
1655651497,7415665071.71875
1655651498,7415716050.09375
1655651499,7415767028.453125
1655651500,7415818006.828125
1655651501,7415868985.1875
1655651502,
1655651503,7415970941.921875
1655651504,7416021920.28125
1655651505,7416072898.65625
1655651506,7416123877.015625
1655651507,7416174855.390625
1655651508,7416225833.75
1655651509,7416276812.109375
1655651510,7416327790.484375
1655651511,7416378768.84375
1655651512,7416429747.21875
1655651513,7416480725.578125
1655651514,
1655651515,7416582682.3125
1655651516,7416633660.671875
1655651517,7416684639.046875
1655651518,7416735617.40625
1655651519,
1655651520,7416837574.140625
1655651521,
1655651522,7416939530.875
1655651523,7416990509.234375
