epoch,if_packets_tx
1656293034,1371073064.0351562
1656293035,1371083377.7109375
1656293036,1371093691.3886719
1656293037,1371104005.0664062
1656293038,1371114318.7421875
1656293039,1371124632.4199219
1656293040,1371134946.0976562
1656293041,1371145259.7753906
1656293042,1371155573.4511719
1656293043,1371165887.1289062
1656293044,1371176200.8066406
1656293045,1371186514.4824219
1656293046,1371196828.1601562
1656293047,1371207141.8378906
1656293048,1371217455.5136719
1656293049,1371227769.1914062
1656293050,1371238082.8691406
1656293051,1371248396.546875
1656293052,1371258710.2226562
1656293053,1371269023.9003906
1656293054,1371279337.578125
1656293055,1371289651.2539062
1656293056,1371299964.9316406
1656293057,1371310278.609375
1656293058,1371320592.2871094
1656293059,1371330905.9628906
1656293060,1371341219.640625
1656293061,1371351533.3183594
1656293062,1371361846.9941406
1656293063,1371372160.671875
1656293064,1371382474.3496094
1656293065,1371392788.0273438
1656293066,1371403101.703125
1656293067,1371413415.3808594
1656293068,1371423729.0585938
1656293069,1371434042.734375
1656293070,1371444356.4121094
1656293071,1371454670.0898438
1656293072,1371464983.7675781
1656293073,1371475297.4433594
1656293074,1371485611.1210938
1656293075,1371495924.7988281
1656293076,1371506238.4746094
1656293077,1371516552.1523438
1656293078,1371526865.8300781
1656293079,1371537179.5078125
1656293080,1371547493.1835938
1656293081,1371557806.8613281
1656293082,1371568120.5390625
1656293083,1371578434.2148438
1656293084,1371588747.8925781
1656293085,1371599061.5703125
1656293086,1371609375.2480469
1656293087,1371619688.9238281
1656293088,1371630002.6015625
1656293089,1371640316.2792969
1656293090,1371650629.9550781
1656293091,1371660943.6328125
1656293092,1371671257.3105469
1656293093,1371681570.9882812
1656293094,1371691884.6640625
1656293095,1371702198.3417969
1656293096,1371712512.0195312
1656293097,1371722825.6953125
1656293098,1371733139.3730469
1656293099,1371743453.0507812
1656293100,1371753766.7285156
1656293101,1371764080.4042969
1656293102,1371774394.0820312
1656293103,1371784707.7597656
1656293104,1371795021.4355469
1656293105,1371805335.1132812
1656293106,1371815648.7910156
1656293107,1371825962.46875
1656293108,1371836276.1445312
1656293109,1371846589.8222656
1656293110,1371856903.5
1656293111,1371867217.1757812
1656293112,1371877530.8535156
1656293113,1371887844.53125
1656293114,1371898158.2089844
1656293115,1371908471.8847656
1656293116,1371918785.5625
1656293117,1371929099.2402344
1656293118,1371939412.9160156
1656293119,1371949726.59375
1656293120,1371960040.2714844
1656293121,1371970353.9492188
1656293122,1371980667.625
1656293123,1371990981.3027344
1656293124,1372001294.9804688
1656293125,1372011608.65625
1656293126,1372021922.3339844
1656293127,1372032236.0117188
1656293128,1372042549.6894531
1656293129,1372052863.3652344
1656293130,1372063177.0429688
1656293131,1372073490.7207031
1656293132,1372083804.3964844
1656293133,1372094118.0742188
1656293134,1372104431.7519531
1656293135,1372114745.4296875
1656293136,1372125059.1054688
1656293137,1372135372.7832031
1656293138,1372145686.4609375
1656293139,1372156000.1367188
1656293140,1372166313.8144531
1656293141,1372176627.4921875
1656293142,1372186941.1699219
1656293143,1372197254.8457031
1656293144,1372207568.5234375
1656293145,1372217882.2011719
1656293146,1372228195.8769531
1656293147,1372238509.5546875
1656293148,1372248823.2324219
1656293149,1372259136.9101562
1656293150,1372269450.5859375
1656293151,1372279764.2636719
1656293152,1372290077.9414062
1656293153,1372300391.6171875
1656293154,1372310705.2949219
1656293155,1372321018.9726562
1656293156,1372331332.6503906
1656293157,1372341646.3261719
1656293158,1372351960.0039062
1656293159,1372362273.6816406
1656293160,1372372587.3574219
1656293161,1372382901.0351562
1656293162,1372393214.7128906
1656293163,1372403528.390625
1656293164,1372413842.0664062
1656293165,1372424155.7441406
1656293166,1372434469.421875
1656293167,1372444783.0976562
1656293168,1372455096.7753906
1656293169,1372465410.453125
1656293170,1372475724.1308594
1656293171,1372486037.8066406
1656293172,1372496351.484375
1656293173,1372506665.1621094
1656293174,1372516978.8378906
1656293175,1372527292.515625
1656293176,1372537606.1933594
1656293177,1372547919.8710938
1656293178,1372558233.546875
1656293179,1372568547.2246094
1656293180,1372578860.9023438
1656293181,1372589174.578125
1656293182,1372599488.2558594
1656293183,1372609801.9335938
1656293184,1372620115.6113281
1656293185,1372630429.2871094
1656293186,1372640742.9648438
1656293187,1372651056.6425781
1656293188,1372661370.3183594
1656293189,1372671683.9960938
1656293190,1372681997.6738281
1656293191,1372692311.3515625
1656293192,1372702625.0273438
1656293193,1372712938.7050781
1656293194,1372723252.3828125
1656293195,1372733566.0585938
1656293196,1372743879.7363281
1656293197,1372754193.4140625
1656293198,1372764507.0917969
1656293199,1372774820.7675781
1656293200,1372785134.4453125
1656293201,1372795448.1230469
1656293202,1372805761.7988281
1656293203,1372816075.4765625
1656293204,1372826389.1542969
1656293205,1372836702.8320312
1656293206,1372847016.5078125
1656293207,1372857330.1855469
1656293208,1372867643.8632812
1656293209,1372877957.5390625
1656293210,1372888271.2167969
1656293211,1372898584.8945312
1656293212,1372908898.5703125
1656293213,1372919212.2480469
1656293214,1372929525.9257812
1656293215,1372939839.6035156
1656293216,1372950153.2792969
1656293217,1372960466.9570312
1656293218,1372970780.6347656
1656293219,1372981094.3105469
1656293220,1372991407.9882812
1656293221,1373001721.6660156
1656293222,1373012035.34375
1656293223,1373022349.0195312
1656293224,1373032662.6972656
1656293225,1373042976.375
1656293226,1373053290.0507812
1656293227,1373063603.7285156
1656293228,1373073917.40625
1656293229,1373084231.0839844
1656293230,1373094544.7597656
1656293231,1373104858.4375
1656293232,1373115172.1152344
1656293233,1373125485.7910156
1656293234,1373135799.46875
1656293235,1373146113.1464844
1656293236,1373156426.8242188
1656293237,1373166740.5
1656293238,1373177054.1777344
1656293239,1373187367.8554688
1656293240,1373197681.53125
1656293241,1373207995.2089844
1656293242,1373218308.8867188
1656293243,1373228622.5644531
1656293244,1373238936.2402344
1656293245,1373249249.9179688
1656293246,1373259563.5957031
1656293247,1373269877.2714844
1656293248,1373280190.9492188
1656293249,1373290504.6269531
1656293250,1373300818.3046875
1656293251,1373311131.9804688
1656293252,1373321445.6582031
1656293253,1373331759.3359375
1656293254,1373342073.0117188
1656293255,1373352386.6894531
1656293256,1373362700.3671875
1656293257,1373373014.0449219
1656293258,1373383327.7207031
1656293259,1373393641.3984375
1656293260,1373403955.0761719
1656293261,1373414268.7519531
1656293262,1373424582.4296875
1656293263,1373434896.1074219
1656293264,1373445209.7851562
1656293265,1373455523.4609375
1656293266,1373465837.1386719
1656293267,1373476150.8164062
1656293268,1373486464.4921875
1656293269,1373496778.1699219
1656293270,1373507091.8476562
1656293271,1373517405.5253906
1656293272,1373527719.2011719
1656293273,1373538032.8789062
1656293274,1373548346.5566406
1656293275,1373558660.2324219
1656293276,1373568973.9101562
1656293277,1373579287.5878906
1656293278,1373589601.265625
1656293279,1373599914.9414062
1656293280,1373610228.6191406
1656293281,1373620542.296875
1656293282,1373630855.9726562
1656293283,1373641169.6503906
1656293284,1373651483.328125
1656293285,1373661797.0058594
1656293286,1373672110.6816406
1656293287,1373682424.359375
1656293288,1373692738.0371094
1656293289,1373703051.7128906
1656293290,1373713365.390625
1656293291,1373723679.0683594
1656293292,1373733992.7460938
1656293293,1373744306.421875
1656293294,1373754620.0996094
1656293295,1373764933.7773438
1656293296,1373775247.453125
1656293297,1373785561.1308594
1656293298,1373795874.8085938
1656293299,1373806188.4863281
1656293300,1373816502.1621094
1656293301,1373826815.8398438
1656293302,1373837129.5175781
1656293303,1373847443.1933594
1656293304,1373857756.8710938
1656293305,1373868070.5488281
1656293306,1373878384.2265625
1656293307,1373888697.9023438
1656293308,1373899011.5800781
1656293309,1373909325.2578125
1656293310,1373919638.9335938
1656293311,1373929952.6113281
1656293312,1373940266.2890625
1656293313,1373950579.9667969
1656293314,1373960893.6425781
1656293315,1373971207.3203125
1656293316,1373981520.9980469
1656293317,1373991834.6738281
1656293318,1374002148.3515625
1656293319,1374012462.0292969
1656293320,1374022775.7070312
1656293321,1374033089.3828125
1656293322,1374043403.0605469
1656293323,1374053716.7382812
1656293324,1374064030.4140625
1656293325,1374074344.0917969
1656293326,1374084657.7695312
1656293327,1374094971.4472656
1656293328,1374105285.1230469
1656293329,1374115598.8007812
1656293330,1374125912.4785156
1656293331,1374136226.1542969
1656293332,1374146539.8320312
1656293333,1374156853.5097656
1656293334,1374167167.1875
1656293335,1374177480.8632812
1656293336,1374187794.5410156
1656293337,1374198108.21875
1656293338,1374208421.8945312
1656293339,1374218735.5722656
1656293340,1374229049.25
1656293341,1374239362.9277344
1656293342,1374249676.6035156
1656293343,1374259990.28125
1656293344,1374270303.9589844
1656293345,1374280617.6347656
1656293346,1374290931.3125
1656293347,1374301244.9902344
1656293348,1374311558.6679688
1656293349,1374321872.34375
1656293350,1374332186.0214844
1656293351,1374342499.6992188
1656293352,1374352813.375
1656293353,1374363127.0527344
1656293354,1374373440.7304688
1656293355,1374383754.4082031
1656293356,1374394068.0839844
1656293357,1374404381.7617188
1656293358,1374414695.4394531
1656293359,1374425009.1152344
1656293360,1374435322.7929688
1656293361,1374445636.4707031
1656293362,1374455950.1484375
1656293363,1374466263.8242188
1656293364,1374476577.5019531
1656293365,1374486891.1796875
1656293366,1374497204.8554688
1656293367,1374507518.5332031
1656293368,1374517832.2109375
1656293369,1374528145.8886719
1656293370,1374538459.5644531
1656293371,1374548773.2421875
1656293372,1374559086.9199219
1656293373,1374569400.5957031
1656293374,1374579714.2734375
1656293375,1374590027.9511719
1656293376,1374600341.6289062
1656293377,1374610655.3046875
1656293378,1374620968.9824219
1656293379,1374631282.6601562
1656293380,1374641596.3359375
1656293381,1374651910.0136719
1656293382,1374662223.6914062
1656293383,1374672537.3671875
1656293384,1374682851.0449219
1656293385,1374693164.7226562
1656293386,1374703478.4003906
1656293387,1374713792.0761719
1656293388,1374724105.7539062
1656293389,1374734419.4316406
1656293390,1374744733.1074219
1656293391,1374755046.7851562
1656293392,1374765360.4628906
1656293393,1374775674.140625
1656293394,1374785987.8164062
1656293395,1374796301.4941406
1656293396,1374806615.171875
1656293397,1374816928.8476562
1656293398,1374827242.5253906
1656293399,1374837556.203125
1656293400,1374847869.8808594
1656293401,1374858183.5566406
1656293402,1374868497.234375
1656293403,1374878810.9121094
1656293404,1374889124.5878906
1656293405,1374899438.265625
1656293406,1374909751.9433594
1656293407,1374920065.6210938
1656293408,1374930379.296875
1656293409,1374940692.9746094
1656293410,1374951006.6523438
1656293411,1374961320.328125
1656293412,1374971634.0058594
1656293413,1374981947.6835938
1656293414,1374992261.3613281
1656293415,1375002575.0371094
1656293416,1375012888.7148438
1656293417,1375023202.3925781
1656293418,1375033516.0683594
1656293419,1375043829.7460938
1656293420,1375054143.4238281
1656293421,1375064457.1015625
1656293422,1375074770.7773438
1656293423,1375085084.4550781
1656293424,1375095398.1328125
1656293425,1375105711.8085938
1656293426,1375116025.4863281
1656293427,1375126339.1640625
1656293428,1375136652.8417969
1656293429,1375146966.5175781
1656293430,1375157280.1953125
1656293431,1375167593.8730469
1656293432,1375177907.5488281
1656293433,1375188221.2265625
1656293434,1375198534.9042969
1656293435,1375208848.5820312
1656293436,1375219162.2578125
1656293437,1375229475.9355469
1656293438,1375239789.6132812
1656293439,1375250103.2890625
1656293440,1375260416.9667969
1656293441,1375270730.6445312
1656293442,1375281044.3222656
1656293443,1375291357.9980469
1656293444,1375301671.6757812
1656293445,1375311985.3535156
1656293446,1375322299.0292969
1656293447,1375332612.7070312
1656293448,1375342926.3847656
1656293449,1375353240.0625
1656293450,1375363553.7382812
1656293451,1375373867.4160156
1656293452,1375384181.09375
1656293453,1375394494.7695312
1656293454,1375404808.4472656
1656293455,1375415122.125
1656293456,1375425435.8027344
1656293457,1375435749.4785156
1656293458,1375446063.15625
1656293459,1375456376.8339844
1656293460,1375466690.5097656
1656293461,1375477004.1875
1656293462,1375487317.8652344
1656293463,1375497631.5429688
1656293464,1375507945.21875
1656293465,1375518258.8964844
1656293466,1375528572.5742188
1656293467,1375538886.25
1656293468,1375549199.9277344
1656293469,1375559513.6054688
1656293470,1375569827.2832031
1656293471,1375580140.9589844
1656293472,1375590454.6367188
1656293473,1375600768.3144531
1656293474,1375611081.9902344
1656293475,1375621395.6679688
1656293476,1375631709.3457031
1656293477,1375642023.0234375
1656293478,1375652336.6992188
1656293479,1375662650.3769531
1656293480,1375672964.0546875
1656293481,1375683277.7304688
1656293482,1375693591.4082031
1656293483,1375703905.0859375
1656293484,1375714218.7636719
1656293485,1375724532.4394531
1656293486,1375734846.1171875
1656293487,1375745159.7949219
1656293488,1375755473.4707031
1656293489,1375765787.1484375
1656293490,1375776100.8261719
1656293491,1375786414.5039062
1656293492,1375796728.1796875
1656293493,1375807041.8574219
1656293494,1375817355.5351562
1656293495,1375827669.2109375
1656293496,1375837982.8886719
1656293497,1375848296.5664062
1656293498,1375858610.2441406
1656293499,1375868923.9199219
1656293500,1375879237.5976562
1656293501,1375889551.2753906
1656293502,1375899864.9511719
1656293503,1375910178.6289062
1656293504,1375920492.3066406
1656293505,1375930805.984375
1656293506,1375941119.6601562
1656293507,1375951433.3378906
1656293508,1375961747.015625
1656293509,1375972060.6914062
1656293510,1375982374.3691406
1656293511,1375992688.046875
1656293512,1376003001.7246094
1656293513,1376013315.4003906
1656293514,1376023629.078125
1656293515,1376033942.7558594
1656293516,1376044256.4316406
1656293517,1376054570.109375
1656293518,1376064883.7871094
1656293519,1376075197.4648438
1656293520,1376085511.140625
1656293521,1376095824.8183594
1656293522,1376106138.4960938
1656293523,1376116452.171875
1656293524,1376126765.8496094
1656293525,1376137079.5273438
1656293526,1376147393.2050781
1656293527,1376157706.8808594
1656293528,1376168020.5585938
1656293529,1376178334.2363281
1656293530,1376188647.9121094
1656293531,1376198961.5898438
1656293532,1376209275.2675781
1656293533,1376219588.9453125
1656293534,1376229902.6210938
1656293535,1376240216.2988281
1656293536,1376250529.9765625
1656293537,1376260843.6523438
1656293538,1376271157.3300781
1656293539,1376281471.0078125
1656293540,1376291784.6855469
1656293541,1376302098.3613281
1656293542,1376312412.0390625
1656293543,1376322725.7167969
1656293544,1376333039.3925781
1656293545,1376343353.0703125
1656293546,1376353666.7480469
1656293547,1376363980.4257812
1656293548,1376374294.1015625
1656293549,1376384607.7792969
1656293550,1376394921.4570312
1656293551,1376405235.1328125
1656293552,1376415548.8105469
1656293553,1376425862.4882812
1656293554,1376436176.1640625
1656293555,1376446489.8417969
1656293556,1376456803.5195312
1656293557,1376467117.1972656
1656293558,1376477430.8730469
1656293559,1376487744.5507812
1656293560,1376498058.2285156
1656293561,1376508371.9042969
1656293562,1376518685.5820312
1656293563,1376528999.2597656
1656293564,1376539312.9375
1656293565,1376549626.6132812
1656293566,1376559940.2910156
1656293567,1376570253.96875
1656293568,1376580567.6445312
1656293569,1376590881.3222656
1656293570,1376601195.0
1656293571,1376611508.6777344
1656293572,1376621822.3535156
1656293573,1376632136.03125
1656293574,1376642449.7089844
1656293575,1376652763.3847656
1656293576,1376663077.0625
1656293577,1376673390.7402344
1656293578,1376683704.4179688
1656293579,1376694018.09375
1656293580,1376704331.7714844
1656293581,1376714645.4492188
1656293582,1376724959.125
1656293583,1376735272.8027344
1656293584,1376745586.4804688
1656293585,1376755900.1582031
1656293586,1376766213.8339844
1656293587,1376776527.5117188
1656293588,1376786841.1894531
1656293589,1376797154.8652344
1656293590,1376807468.5429688
1656293591,1376817782.2207031
1656293592,1376828095.8984375
1656293593,1376838409.5742188
1656293594,1376848723.2519531
1656293595,1376859036.9296875
1656293596,1376869350.6054688
1656293597,1376879664.2832031
1656293598,1376889977.9609375
1656293599,1376900291.6386719
1656293600,1376910605.3144531
1656293601,1376920918.9921875
1656293602,1376931232.6699219
1656293603,1376941546.3457031
1656293604,1376951860.0234375
1656293605,1376962173.7011719
1656293606,1376972487.3789062
1656293607,1376982801.0546875
1656293608,1376993114.7324219
1656293609,1377003428.4101562
1656293610,1377013742.0859375
1656293611,1377024055.7636719
1656293612,1377034369.4414062
1656293613,1377044683.1191406
1656293614,1377054996.7949219
1656293615,1377065310.4726562
1656293616,1377075624.1503906
1656293617,1377085937.8261719
1656293618,1377096251.5039062
1656293619,1377106565.1816406
1656293620,1377116878.859375
1656293621,1377127192.5351562
1656293622,1377137506.2128906
1656293623,1377147819.890625
1656293624,1377158133.5664062
1656293625,1377168447.2441406
1656293626,1377178760.921875
1656293627,1377189074.5996094
1656293628,1377199388.2753906
1656293629,1377209701.953125
1656293630,1377220015.6308594
1656293631,1377230329.3066406
1656293632,1377240642.984375
1656293633,1377250956.6621094
1656293634,1377261270.3398438
1656293635,1377271584.015625
1656293636,1377281897.6933594
1656293637,1377292211.3710938
1656293638,1377302525.046875
1656293639,1377312838.7246094
1656293640,1377323152.4023438
1656293641,1377333466.0800781
1656293642,1377343779.7558594
1656293643,1377354093.4335938
1656293644,1377364407.1113281
1656293645,1377374720.7871094
1656293646,1377385034.4648438
1656293647,1377395348.1425781
1656293648,1377405661.8203125
1656293649,1377415975.4960938
1656293650,1377426289.1738281
1656293651,1377436602.8515625
1656293652,1377446916.5273438
1656293653,1377457230.2050781
1656293654,1377467543.8828125
1656293655,1377477857.5605469
1656293656,1377488171.2363281
1656293657,1377498484.9140625
1656293658,1377508798.5917969
1656293659,1377519112.2675781
1656293660,1377529425.9453125
1656293661,1377539739.6230469
1656293662,1377550053.3007812
1656293663,1377560366.9765625
1656293664,1377570680.6542969
1656293665,1377580994.3320312
1656293666,1377591308.0078125
1656293667,1377601621.6855469
1656293668,1377611935.3632812
1656293669,1377622249.0410156
1656293670,1377632562.7167969
1656293671,1377642876.3945312
1656293672,1377653190.0722656
1656293673,1377663503.7480469
1656293674,1377673817.4257812
1656293675,1377684131.1035156
1656293676,1377694444.78125
1656293677,1377704758.4570312
1656293678,1377715072.1347656
1656293679,1377725385.8125
1656293680,1377735699.4882812
1656293681,1377746013.1660156
1656293682,1377756326.84375
1656293683,1377766640.5214844
1656293684,1377776954.1972656
