epoch,shortterm,midterm,longterm
1656293034,0.68,36.27200000000001,40.42399999999999
1656293035,0.68,18.474,34.92999999999999
1656293036,0.68,0.68,29.439999999999987
1656293037,0.68,0.68,23.955999999999985
1656293038,0.68,0.68,18.467999999999986
1656293039,0.68,0.68,12.544000000000004
1656293040,0.68,0.68,6.611333333333338
1656293041,0.68,0.68,0.68
1656293042,0.68,0.68,0.68
1656293043,0.68,0.68,0.68
1656293044,0.68,0.68,0.68
1656293045,0.68,0.68,0.68
1656293046,0.68,0.68,0.68
1656293047,0.68,0.68,0.68
1656293048,0.68,0.68,0.68
1656293049,0.68,0.68,0.68
1656293050,0.68,0.68,0.68
1656293051,0.68,0.68,0.68
1656293052,0.68,0.68,0.68
1656293053,0.68,0.68,0.68
1656293054,0.68,0.68,0.68
1656293055,0.68,0.68,0.68
1656293056,0.68,0.68,0.68
1656293057,0.68,0.68,0.68
1656293058,0.68,0.68,0.68
1656293059,0.68,0.68,0.68
1656293060,0.68,0.68,0.68
1656293061,0.68,0.68,0.68
1656293062,0.68,0.68,0.68
1656293063,0.68,0.68,0.68
1656293064,0.68,0.68,0.68
1656293065,0.68,0.68,0.68
1656293066,0.68,0.68,0.68
1656293067,0.68,0.68,0.68
1656293068,0.68,0.68,0.68
1656293069,0.68,0.68,0.68
1656293070,0.68,0.68,0.68
1656293071,0.68,0.68,0.68
1656293072,0.68,0.68,0.68
1656293073,0.68,0.68,0.68
1656293074,0.68,0.68,0.68
1656293075,0.68,0.68,0.68
1656293076,0.68,0.68,0.68
1656293077,0.68,0.68,0.68
1656293078,0.68,0.68,0.68
1656293079,0.68,0.68,0.68
1656293080,0.68,0.68,0.68
1656293081,0.68,0.68,0.68
1656293082,0.68,0.68,0.68
1656293083,0.68,0.68,0.68
1656293084,0.68,0.68,0.68
1656293085,0.68,0.68,0.68
1656293086,0.68,0.68,0.68
1656293087,0.68,0.68,0.68
1656293088,0.68,0.68,0.68
1656293089,0.68,0.68,0.68
1656293090,0.68,0.68,0.68
1656293091,0.68,0.68,0.68
1656293092,0.68,0.68,0.68
1656293093,0.68,0.68,0.68
1656293094,0.68,0.68,0.68
1656293095,0.68,0.68,0.68
1656293096,0.68,0.68,0.68
1656293097,0.68,0.68,0.68
1656293098,0.68,0.68,0.68
1656293099,0.68,0.68,0.68
1656293100,0.68,0.68,0.68
1656293101,0.68,0.68,0.68
1656293102,0.68,0.68,0.68
1656293103,0.68,0.68,0.68
1656293104,0.68,0.68,0.68
1656293105,0.68,0.68,0.68
1656293106,0.68,0.68,0.68
1656293107,0.68,0.68,0.68
