epoch,if_octets_rx
1656293029,290095537229.5
1656293030,290096709828.75
1656293031,290097882428.0
1656293032,290099055027.25
1656293033,290100227626.5
1656293034,290101400225.5
1656293035,290102572824.75
1656293036,290103745424.0
1656293037,290104918023.25
1656293038,290106090622.5
1656293039,290107263221.5
1656293040,290108435820.75
1656293041,290109608420.0
1656293042,290110781019.25
1656293043,290111953618.5
1656293044,290113126217.75
1656293045,290114298816.75
1656293046,290115471416.0
1656293047,290116644015.25
1656293048,290117816614.5
1656293049,290118989213.75
1656293050,290120161812.75
1656293051,290121334412.0
1656293052,290122507011.25
1656293053,290123679610.5
1656293054,290124852209.75
1656293055,290126024808.75
1656293056,290127197408.0
1656293057,290128370007.25
1656293058,290129542606.5
1656293059,290130715205.75
1656293060,290131887805.0
1656293061,290133060404.0
1656293062,290134233003.25
1656293063,290135405602.5
1656293064,290136578201.75
1656293065,290137750801.0
1656293066,290138923400.0
1656293067,290140095999.25
1656293068,290141268598.5
1656293069,290142441197.75
1656293070,290143613797.0
1656293071,290144786396.0
1656293072,290145958995.25
1656293073,290147131594.5
1656293074,290148304193.75
1656293075,290149476793.0
1656293076,290150649392.0
1656293077,290151821991.25
1656293078,290152994590.5
1656293079,290154167189.75
1656293080,290155339789.0
1656293081,290156512388.25
1656293082,290157684987.25
1656293083,290158857586.5
1656293084,290160030185.75
1656293085,290161202785.0
1656293086,290162375384.25
1656293087,290163547983.25
1656293088,290164720582.5
1656293089,290165893181.75
1656293090,290167065781.0
1656293091,290168238380.25
1656293092,290169410979.25
1656293093,290170583578.5
1656293094,290171756177.75
1656293095,290172928777.0
1656293096,290174101376.25
1656293097,290175273975.5
1656293098,290176446574.5
1656293099,290177619173.75
1656293100,290178791773.0
1656293101,290179964372.25
1656293102,290181136971.5
1656293103,290182309570.5
1656293104,290183482169.75
1656293105,290184654769.0
1656293106,290185827368.25
1656293107,290186999967.5
1656293108,290188172566.5
1656293109,290189345165.75
1656293110,290190517765.0
1656293111,290191690364.25
1656293112,290192862963.5
1656293113,290194035562.75
1656293114,290195208161.75
1656293115,290196380761.0
