epoch,if_packets_rx
1656293029,1662795132.7695312
1656293030,1662806327.4023438
1656293031,1662817522.0390625
1656293032,1662828716.671875
1656293033,1662839911.3046875
1656293034,1662851105.9414062
1656293035,1662862300.5742188
1656293036,1662873495.2070312
1656293037,1662884689.84375
1656293038,1662895884.4765625
1656293039,1662907079.109375
1656293040,1662918273.7460938
1656293041,1662929468.3789062
1656293042,1662940663.015625
1656293043,1662951857.6484375
1656293044,1662963052.28125
1656293045,1662974246.9179688
1656293046,1662985441.5507812
1656293047,1662996636.1835938
1656293048,1663007830.8203125
1656293049,1663019025.453125
1656293050,1663030220.0859375
1656293051,1663041414.7226562
1656293052,1663052609.3554688
1656293053,1663063803.9882812
1656293054,1663074998.625
1656293055,1663086193.2578125
1656293056,1663097387.890625
1656293057,1663108582.5273438
1656293058,1663119777.1601562
1656293059,1663130971.7929688
1656293060,1663142166.4296875
1656293061,1663153361.0625
1656293062,1663164555.6992188
1656293063,1663175750.3320312
1656293064,1663186944.9648438
1656293065,1663198139.6015625
1656293066,1663209334.234375
1656293067,1663220528.8671875
1656293068,1663231723.5039062
1656293069,1663242918.1367188
1656293070,1663254112.7695312
1656293071,1663265307.40625
1656293072,1663276502.0390625
1656293073,1663287696.671875
1656293074,1663298891.3085938
1656293075,1663310085.9414062
1656293076,1663321280.5742188
1656293077,1663332475.2109375
1656293078,1663343669.84375
1656293079,1663354864.4765625
1656293080,1663366059.1132812
1656293081,1663377253.7460938
1656293082,1663388448.3828125
1656293083,1663399643.015625
1656293084,1663410837.6484375
1656293085,1663422032.2851562
1656293086,1663433226.9179688
1656293087,1663444421.5507812
1656293088,1663455616.1875
1656293089,1663466810.8203125
1656293090,1663478005.453125
1656293091,1663489200.0898438
1656293092,1663500394.7226562
1656293093,1663511589.3554688
1656293094,1663522783.9921875
1656293095,1663533978.625
1656293096,1663545173.2578125
1656293097,1663556367.8945312
1656293098,1663567562.5273438
1656293099,1663578757.1640625
1656293100,1663589951.796875
1656293101,1663601146.4296875
1656293102,1663612341.0664062
1656293103,1663623535.6992188
1656293104,1663634730.3320312
1656293105,1663645924.96875
1656293106,1663657119.6015625
1656293107,1663668314.234375
1656293108,1663679508.8710938
1656293109,1663690703.5039062
1656293110,1663701898.1367188
1656293111,1663713092.7734375
1656293112,1663724287.40625
1656293113,1663735482.0390625
1656293114,1663746676.6757812
1656293115,1663757871.3085938
1656293116,1663769065.9414062
1656293117,1663780260.578125
1656293118,1663791455.2109375
1656293119,1663802649.8476562
1656293120,1663813844.4804688
1656293121,1663825039.1132812
1656293122,1663836233.75
1656293123,1663847428.3828125
1656293124,1663858623.015625
1656293125,1663869817.6523438
1656293126,1663881012.2851562
1656293127,1663892206.9179688
1656293128,1663903401.5546875
1656293129,1663914596.1875
1656293130,1663925790.8203125
1656293131,1663936985.4570312
1656293132,1663948180.0898438
1656293133,1663959374.7226562
1656293134,1663970569.359375
1656293135,1663981763.9921875
1656293136,1663992958.625
1656293137,1664004153.2617188
1656293138,1664015347.8945312
1656293139,1664026542.53125
1656293140,1664037737.1640625
1656293141,1664048931.796875
1656293142,1664060126.4335938
1656293143,1664071321.0664062
1656293144,1664082515.6992188
1656293145,1664093710.3359375
1656293146,1664104904.96875
1656293147,1664116099.6015625
1656293148,1664127294.2382812
1656293149,1664138488.8710938
1656293150,1664149683.5039062
1656293151,1664160878.140625
1656293152,1664172072.7734375
1656293153,1664183267.40625
1656293154,1664194462.0429688
1656293155,1664205656.6757812
1656293156,1664216851.3085938
1656293157,1664228045.9453125
1656293158,1664239240.578125
1656293159,1664250435.2148438
1656293160,1664261629.8476562
1656293161,1664272824.4804688
1656293162,1664284019.1171875
1656293163,1664295213.75
1656293164,1664306408.3828125
1656293165,1664317603.0195312
1656293166,1664328797.6523438
1656293167,1664339992.2851562
1656293168,1664351186.921875
1656293169,1664362381.5546875
1656293170,1664373576.1875
1656293171,1664384770.8242188
1656293172,1664395965.4570312
1656293173,1664407160.0898438
1656293174,1664418354.7265625
1656293175,1664429549.359375
1656293176,1664440743.9921875
1656293177,1664451938.6289062
1656293178,1664463133.2617188
1656293179,1664474327.8984375
1656293180,1664485522.53125
1656293181,1664496717.1640625
1656293182,1664507911.8007812
1656293183,1664519106.4335938
1656293184,1664530301.0664062
1656293185,1664541495.703125
1656293186,1664552690.3359375
1656293187,1664563884.96875
1656293188,1664575079.6054688
1656293189,1664586274.2382812
1656293190,1664597468.8710938
1656293191,1664608663.5078125
1656293192,1664619858.140625
1656293193,1664631052.7734375
1656293194,1664642247.4101562
1656293195,1664653442.0429688
1656293196,1664664636.6757812
