epoch,memory-used
1656293029,31475529706.452564
1656293030,31357820426.37152
1656293031,31238695858.336243
1656293032,31118175359.499805
1656293033,30996280875.091595
1656293034,30873034350.340958
1656293035,30748457730.47728
1656293036,30622572960.72992
1656293037,30495401986.32823
1656293038,30366966752.501587
1656293039,30237289204.479355
1656293040,30106391287.49089
1656293041,29974294946.765587
1656293042,29841022127.53276
1656293043,29706594775.021805
1656293044,29571034834.46209
1656293045,29434364251.082966
1656293046,29296604970.113808
1656293047,29157778936.783966
1656293048,29017908096.322823
1656293049,28877014393.959732
1656293050,28735119774.924057
1656293051,28592246184.445164
1656293052,28448415567.75243
1656293053,28303649870.07521
1656293054,28157971036.642864
1656293055,28011401012.684753
1656293056,27863961743.430267
1656293057,27715675174.108738
1656293058,27566563249.94954
1656293059,27416647916.182064
1656293060,27265951118.03564
1656293061,27114494800.739647
1656293062,26962300909.523453
1656293063,26809391389.616417
1656293064,26655788186.24791
1656293065,26501513244.64729
1656293066,26346588510.04392
1656293067,26191035927.667168
1656293068,26034877442.7464
1656293069,25878135000.51098
1656293070,25720830546.190273
1656293071,25562986025.01364
1656293072,25404623382.21045
1656293073,25245764563.01007
1656293074,25086431512.64186
1656293075,24926646176.33519
1656293076,24766430499.319405
1656293077,24605806426.8239
1656293078,24444795904.07801
1656293079,24283420876.311123
1656293080,24121703288.752586
1656293081,23959665086.631783
1656293082,23797328215.178062
1656293083,23634714619.620796
1656293084,23471846245.18935
1656293085,23308745037.113083
1656293086,23145432940.62136
1656293087,22981931900.943542
1656293088,22818263863.309013
1656293089,22654450772.947113
1656293090,22490514575.087223
1656293091,22326477214.958702
1656293092,22162360637.790913
1656293093,21998186788.813232
1656293094,21833977613.255013
1656293095,21669755056.345608
1656293096,21505541063.314407
1656293097,21341357579.390755
1656293098,21177226549.804028
1656293099,21013169919.783592
1656293100,20849209634.558807
1656293101,20685367639.35904
1656293102,20521665879.413643
1656293103,20358126299.952003
1656293104,20194770846.20347
1656293105,20031621463.397408
1656293106,19868700096.763184
1656293107,19706028691.53016
1656293108,19543629192.927708
1656293109,19381523546.18519
1656293110,19219733696.53197
1656293111,19058281589.197414
1656293112,18897189169.41088
1656293113,18736478382.40174
1656293114,18576171173.39936
1656293115,18416289487.63309
1656293116,18256855270.33232
1656293117,18097890466.726387
1656293118,17939417022.04467
1656293119,17781456881.51654
1656293120,17624031990.37135
1656293121,17467164293.838467
1656293122,17310875737.14725
1656293123,17155188265.527082
1656293124,17000123824.207306
1656293125,16845704358.417316
1656293126,16691951813.386436
1656293127,16538888134.344063
1656293128,16386535266.519548
1656293129,16234915155.142265
1656293130,16084049745.441563
1656293131,15933960982.646822
1656293132,15784670811.987396
1656293133,15636201178.692657
1656293134,15488574371.606262
1656293135,15341814054.029037
1656293136,15195944232.876133
1656293137,15050988915.062664
1656293138,14906972107.503765
1656293139,14763917817.114567
1656293140,14621850050.810198
1656293141,14480792815.505795
1656293142,14340770118.116474
1656293143,14201805965.557383
1656293144,14063924364.743645
1656293145,13927149322.590385
1656293146,13791504846.012735
1656293147,13657014941.925829
1656293148,13523703617.244808
1656293149,13391594878.884785
1656293150,13260712733.76089
1656293151,13131081188.788265
1656293152,13002724250.882027
1656293153,12875667419.217625
1656293154,12749942162.011627
1656293155,12625581439.740965
1656293156,12502618212.88252
1656293157,12381085441.913189
1656293158,12261016087.309887
1656293159,12142443109.549496
1656293160,12025399469.10892
1656293161,11909918126.465057
1656293162,11796032042.094805
1656293163,11683774176.475069
1656293164,11573177490.082733
1656293165,11464274943.394712
1656293166,11357099496.88789
1656293167,11251684111.039177
1656293168,11148061746.325466
1656293169,11046265363.223663
1656293170,10946327922.21065
1656293171,10848282383.763346
1656293172,10752161708.35863
1656293173,10657998856.473413
1656293174,10565826788.58459
1656293175,10475678465.169056
1656293176,10387586846.703724
1656293177,10301584893.665478
1656293178,10217705566.531216
1656293179,10135981825.777838
1656293180,10056446631.88225
1656293181,9979132945.32135
1656293182,9904073726.572025
1656293183,9831301936.111187
1656293184,9760850534.415722
1656293185,9692752481.962542
1656293186,9627040739.22853
1656293187,9563748266.6906
1656293188,9502908024.825645
1656293189,9444552974.110563
1656293190,9388716075.022236
1656293191,9335430288.037594
1656293192,9284728573.63351
1656293193,9236643892.286905
1656293194,9191209204.474657
1656293195,9148457470.673666
1656293196,9108421651.360847
1656293197,9071134707.013083
1656293198,9036629598.107285
1656293199,9004939285.120337
1656293200,8976096728.529144
1656293201,8950134888.810608
